#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
# longitud latitud  Dist  Edad   
# (deg)    (deg)    (pc)  (log t [yr])
#
l;b;d;Age
142.5567;6.18486;7000;8.05
145.12024;3.68011;4400;7.6
147.94815;0.34503;4000;8.508
148.12131;0.28706;1742;8.72
291.13726;-35.7047;775;9.3
148.5711;0.36197;1400;8.895
149.77445;-1.01912;2200;8.82
146.26983;3.13931;3981;6.6
203.62247;-43.32972;1020;9.2
149.74003;-0.19721;1340;9.3
150.11195;-0.552;5126;9.22
149.84701;0.1871;1230;8.8
167.48867;-17.98274;1670;9.1
151.14216;-0.65284;1818;8.08
143.67233;7.65757;1000;7.0
152.58983;-1.57432;1320;8.11
154.49363;-3.42208;2420;8.55
153.40886;-1.8775;3400;8.56
283.77282;-38.26076;1055;9.48
152.05682;0.25774;1090;8.6
159.30612;-6.86558;3000;9.1
151.26905;1.78247;4400;8.6
147.48356;5.70059;1070;7.718
151.17616;2.1236;1589;7.4
157.08146;-3.64223;2200;8.041
153.3588;0.1844;711;8.448
162.89533;-9.17999;2501;9.02
152.40633;1.48208;3501;7.9
168.64833;-13.72014;1800;8.48
156.88765;-2.15759;1638;8.61
180.06378;-22.34295;45;8.896
168.28726;-12.28684;1052;9.0
159.30276;-3.0394;1100;8.47
158.57374;-1.57913;2559;7.61
277.20302;-38.31811;985;9.52
154.87763;2.50304;2450;9.0
155.3572;2.60763;6000;6.6
139.34548;16.1483;200;8.7
162.02348;-2.74583;1819;9.06
162.29418;-2.59831;3500;8.945
162.12502;-2.40764;1678;8.391
161.66956;-1.99113;3162;9.6
162.60033;-2.70541;3103;8.965
163.94397;-3.80936;1500;9.06
180.33658;-16.77179;540;8.158
152.29177;6.32912;501;8.5
162.26707;-2.13839;1700;9.05
162.43597;-2.22129;3662;8.8
160.33621;-0.39632;3028;7.724
187.69495;-21.11429;437;8.625
185.845;-19.73511;700;9.3
163.03411;-1.85629;500;8.42
161.67681;-0.44602;1199;8.465
160.13041;0.96318;2501;8.9
164.17861;-1.83296;2500;8.7
167.58283;-4.11671;2325;9.35
155.08507;5.92441;2470;9.0
174.09863;-8.83214;2500;7.4
163.00736;0.14502;2125;8.95
280.01393;-35.24697;3080;8.7
167.08455;-2.76416;1250;8.85
162.87299;0.70693;5500;9.2
169.0413;-3.86409;3801;9.2
162.53033;1.34374;2501;8.8
162.26561;1.60903;1202;9.4
168.38387;-3.08553;3001;8.3
163.86709;0.48972;2800;9.5
164.06031;0.51932;1193;8.35
155.76372;6.85122;630;8.755
179.07492;-10.64521;800;8.645
179.17814;-10.69564;630;8.3
179.15445;-10.48988;760;8.6
166.98574;-1.00327;1600;9.0
167.66959;-1.33518;5200;9.3
173.77111;-5.84324;8701;9.1
180.79038;-10.8586;276;8.0
168.90314;-2.01543;1469;8.155
158.60893;5.68574;3840;8.95
167.29847;-0.74483;4710;8.4
167.68533;-0.63244;5370;6.7
179.66393;-9.26088;2100;9.15
162.25914;3.61876;4500;8.805
160.70311;4.84959;3470;9.25
186.15612;-13.09608;1972;8.612
163.40067;3.26032;800;7.71
173.21485;-3.46827;868;7.6
250.87004;-35.25806;2180;8.655
279.03965;-33.60652;460;8.78
169.64465;0.03326;3250;8.0
170.67491;-0.44152;4290;9.45
168.40529;1.25926;2490;8.5
228.58046;-30.68139;2856;8.65
171.83653;-1.02919;1100;8.61
168.2857;1.44439;3370;7.173
175.64619;-3.64795;2700;10.0
163.63151;5.01701;5800;9.63
170.98454;0.07715;1400;8.6
173.58498;-1.68047;3500;6.18
167.27691;2.68387;1472;8.905
195.10435;-15.31712;1710;8.59
192.23978;-13.55987;1220;8.9
166.36998;3.54562;3860;8.5
176.90146;-3.58804;7870;9.4
173.69407;-1.36341;1800;9.35
200.98164;-18.34402;460;6.93
174.43502;-1.7868;2860;8.95
176.56232;-3.07121;2000;7.12
172.6393;-0.32292;1300;8.72
177.32227;-3.45137;2600;9.1
166.89437;3.58016;4168;9.67
163.0829;6.15878;4800;9.0
188.00505;-10.31719;580;8.8
202.08452;-18.48088;500;7.12
159.50967;8.58601;2720;9.05
171.88893;0.45326;2300;9.55
197.27126;-15.55607;92;7.3
196.58512;-15.10328;3599;8.25
173.04651;-0.11883;1000;7.625
204.88872;-19.46649;350;7.64
173.86256;-0.59006;900;7.3
168.41004;3.09376;550;8.33
172.6193;0.30625;1800;8.5
173.3731;-0.18856;2005;6.3
173.10716;0.0465;1900;7.5
172.24952;0.69512;1400;8.5
201.66857;-17.52634;450;7.35
199.86093;-16.47931;500;7.11
170.44123;2.28182;3240;8.7
173.89766;0.28127;2300;6.3
203.48329;-17.37282;8400;9.78
169.41386;3.66433;3743;8.985
180.67651;-3.53798;2530;8.6
181.50621;-3.89163;3816;6.55
195.04773;-12.00352;400;6.7
208.00705;-18.93925;380;6.7
208.47204;-19.12729;500;7.08
209.0101;-19.38591;414;7.11
209.52302;-19.5931;550;6.67
205.02986;-17.35098;387;6.98
181.39303;-3.40993;1220;8.0
174.53449;1.072;1330;7.4
176.49001;-0.11044;1300;6.7
177.06605;-0.40624;1700;8.35
177.06789;-0.19216;2153;8.655
181.77905;-3.05055;1400;8.45
176.78123;0.11988;3300;7.0
206.81067;-17.34617;399;7.11
171.61829;3.56159;380;7.9
221.62275;-23.70806;1120;9.2
177.09859;0.18809;2100;8.75
177.6322;-0.10562;1359;9.05
175.55949;1.2061;4300;8.3
175.55804;1.21112;3700;8.65
176.62492;0.89423;3260;9.0
170.75311;4.64193;3610;8.95
178.74861;-0.18487;1213;9.1
179.12265;-0.22532;1100;8.805
177.9387;0.53304;6770;7.0
179.68019;-0.51051;2100;7.0
187.23416;-5.05916;1418;8.74
185.96447;-4.10564;5400;9.08
156.51352;13.41667;1100;9.18
238.92946;-27.93046;542;9.32
179.95558;-0.29451;2600;7.5
183.52796;-2.24956;1836;7.3
174.6454;3.70433;2000;8.6
179.2295;1.19923;3000;8.3
199.03107;-10.38965;2510;9.11
182.55369;-0.74124;1881;7.3
176.39482;3.11934;6403;8.618
180.53862;0.81149;2500;8.45
186.27253;-2.54977;3500;8.65
183.35181;-0.56874;1063;8.635
186.83975;-2.50865;5000;9.34
182.05769;0.42485;1586;7.15
179.9008;1.74368;2800;9.3
177.63539;3.09136;1383;8.54
184.13208;-0.40975;2200;9.0
205.8724;-12.61467;940;9.25
182.74336;0.48102;3300;8.9
268.69041;-30.20037;974;9.22
188.05238;-2.21611;4600;9.4
187.44226;-1.11401;1800;8.4
199.87657;-8.07861;6000;9.52
176.15937;5.99974;2000;8.78
186.60124;0.14421;2200;7.0
163.18632;13.14435;1090;9.1
198.04435;-5.81054;4033;9.231
202.23537;-8.03722;800;9.15
189.58657;-0.75708;2886;7.2
179.8072;4.74968;1960;8.9
188.10486;0.14484;2977;8.735
194.60018;-3.49379;1090;8.9
235.39627;-22.2878;1100;9.4
186.38198;1.24607;2040;7.8
186.29445;1.29958;2100;8.4
195.58632;-3.59344;2000;9.0
190.77867;-0.77396;3465;6.61
186.63405;1.78072;5071;9.023
191.0064;-0.61255;1633;8.81
195.60757;-2.93459;1052;7.067
186.58137;2.17051;2520;8.0
186.59094;2.19125;912;8.25
184.90245;3.13001;5300;7.95
185.44037;2.88986;2127;9.005
203.96646;-7.24551;2835;8.9
180.57395;5.59278;2100;9.0
186.1317;2.59135;6309;6.95
228.80057;-18.75827;272;7.78
190.04259;0.48235;1627;6.953
203.8491;-7.00905;910;8.85
186.51634;2.52681;3000;9.15
196.65982;-2.99937;1994;9.105
193.32789;-1.11851;1721;8.87
193.22957;-1.01887;1500;8.7
190.0783;0.79681;1000;7.7
195.53968;-2.1918;2397;8.71
211.42697;-10.58158;640;8.37
162.16127;15.13041;1445;9.18
203.5508;-6.192;2700;8.3
196.91842;-2.5391;2180;8.1
202.30927;-5.25833;1980;8.11
195.31795;-1.31735;4597;8.98
197.25019;-2.34958;3781;8.515
188.79207;2.38673;1775;8.2
195.55348;-1.28505;2421;9.4
208.1229;-7.90401;1500;8.42
236.37126;-20.35591;990;9.0
197.31395;-2.09759;3150;8.4
173.41487;10.65426;3467;9.15
205.36781;-6.22032;348;7.78
226.0136;-16.10662;2629;8.896
196.21337;-1.19783;2084;7.15
203.62152;-4.90482;900;8.74
189.20908;3.01082;2075;8.37
188.19973;3.68426;800;7.5
187.25026;4.19734;2800;9.4
190.97627;2.28479;1243;7.145
196.67999;-0.58204;1734;8.75
192.84539;1.56479;1380;7.9
167.52045;14.42177;600;8.45
252.49968;-23.92592;1170;9.48
215.99321;-10.10249;790;8.85
207.41451;-5.52211;1467;8.64
195.58953;0.7542;5800;8.7
215.27804;-9.42379;9800;9.18
205.10922;-3.98116;2670;9.145
205.6208;-4.12244;2152;8.55
213.96023;-8.2877;2023;8.9
193.83693;2.32847;2981;8.65
197.01662;0.97632;1786;8.735
197.6489;0.64713;3443;8.7
192.4312;3.40073;2803;6.686
194.25869;2.47405;1296;8.495
197.92153;0.58103;8900;8.48
195.94414;1.68248;2330;9.0
218.77991;-9.86052;3200;9.11
214.43234;-7.54223;359;7.727
198.96752;0.54385;2415;7.0
216.64011;-8.22688;400;6.96
195.5335;2.83178;4800;7.7
202.25791;-0.66496;4570;8.4
239.47821;-18.01423;4458;9.032
204.36971;-1.69935;2930;8.538
207.48382;-3.16555;1791;8.635
207.96359;-3.38595;962;7.031
214.34748;-6.50824;8872;9.0
219.26114;-8.93128;2100;6.7
201.7471;0.00552;556;
206.17031;-2.2729;3900;6.7
200.79012;0.62982;1933;8.7
205.36955;-1.75819;630;8.0
204.60201;-1.31186;2290;9.02
200.1757;1.10203;1916;8.68
206.30587;-2.07197;1660;6.28
199.65915;1.60024;2308;8.91
179.21216;11.84631;1551;9.2
192.60601;5.4457;6918;8.9
215.46772;-6.23821;1795;8.78
203.77909;-0.12005;1328;8.102
211.25152;-3.86022;2032;8.86
203.57703;0.10566;1329;8.427
206.24786;-1.26108;900;8.84
204.32738;0.04657;2364;8.307
211.76334;-3.74291;1551;8.79
239.6237;-16.51753;1240;9.0
223.9523;-9.68433;1480;8.68
206.94251;-1.1159;2025;8.5
203.81563;0.52989;1684;8.033
202.86464;1.04953;2820;9.6
208.55507;-1.80829;1687;8.025
206.00431;-0.46267;1000;9.9
207.15382;-0.88857;1738;7.0
212.15101;-3.43559;4700;9.34
212.71779;-3.65031;1985;7.0
201.76178;2.07519;3311;8.5
209.64918;-1.97855;1950;9.15
205.34273;0.32652;1191;7.7
210.56736;-2.10397;3600;9.0
210.24273;-1.85288;1202;8.8
199.79355;3.53664;4626;9.1
236.56044;-14.40072;1925;9.35
202.93575;2.19573;667;6.954
226.61172;-9.69953;11400;9.7
238.77424;-15.07459;3161;8.945
201.22475;3.26824;2160;8.48
212.64659;-2.52354;1298;8.935
238.77987;-14.81683;1100;9.18
211.91912;-1.87483;625;
210.48926;-1.09917;1599;9.25
207.88724;0.29855;1687;8.416
187.78965;10.29393;3000;8.8
210.10217;-0.75528;1191;9.05
210.82406;-1.03224;2780;7.48
208.98315;-0.07759;1400;8.64
210.66242;-0.73393;1261;8.45
212.64582;-1.74142;6310;8.95
211.94223;-1.27328;6800;6.8
222.80357;-6.65552;7140;9.1
190.18098;9.72802;1400;8.86
231.01952;-10.4446;710;8.4
210.79674;-0.29262;1917;8.55
211.22795;-0.40141;1641;7.85
212.43975;-0.97575;2398;8.33
215.30579;-2.27325;2600;8.3
174.9014;16.88121;558;8.554
212.30143;-0.38987;2661;6.665
222.04709;-5.3389;4700;8.9
234.30683;-11.18811;9100;9.6
207.68219;2.36627;12589;9.6
206.35549;3.06945;800;8.09
206.9433;2.79842;2095;8.6
251.96786;-18.03947;1753;8.8
207.78438;2.60739;5035;9.3
212.5581;0.27919;870;8.2
219.29659;-3.1175;1500;7.08
210.4075;1.50648;2557;7.846
209.77845;1.83265;1180;8.79
211.08195;1.1942;3500;7.6
234.34591;-10.32673;2362;8.75
213.30172;0.30082;1429;8.735
197.98342;8.02473;14871;9.025
217.11816;-1.45748;1200;8.75
225.33866;-5.57274;2304;8.7
207.23499;3.64389;1905;8.93
213.3829;0.50736;800;8.34
214.72661;-0.11575;750;8.06
219.69299;-2.60463;1200;8.85
197.21561;8.90119;4400;8.8
230.00402;-7.55466;4712;9.15
213.22722;1.07403;3150;8.5
225.29728;-5.02147;7691;9.5
219.84457;-2.24565;2511;8.4
235.70156;-9.99067;1100;7.08
219.09245;-1.59616;800;8.2
219.48775;-1.72407;1737;8.18
206.25355;5.11985;8272;9.313
225.42446;-4.62207;6000;8.9
210.78008;2.85809;4790;8.48
217.75879;-0.69351;2290;8.6
207.95196;4.40442;3078;9.7
212.94036;1.91374;1753;8.37
204.56251;6.2895;2245;8.52
221.92579;-2.40088;1706;9.15
226.04828;-4.45978;1335;7.7
217.49415;-0.01582;736;7.9
223.11712;-2.76049;4110;9.5
219.13161;-0.68014;1952;6.35
214.15882;1.88426;7280;9.45
232.33419;-7.314;4169;8.98
221.85749;-2.02837;717;7.0
211.25805;3.40863;1100;8.61
210.89054;3.69828;600;8.63
216.8478;0.80285;2830;8.785
226.19358;-3.92031;2190;8.845
237.88271;-9.60462;750;8.18
233.72492;-7.57024;3434;8.795
215.20048;1.94461;2906;8.4
221.6722;-1.33115;950;8.0
278.1416;-23.80915;1070;9.26
232.83208;-6.88025;6080;9.01
236.67614;-8.72922;800;7.26
208.54023;5.52785;4285;9.05
218.78856;0.35026;1762;7.89
224.61034;-2.50892;1500;7.59
213.44714;3.29737;3800;8.65
231.99658;-6.15518;8900;9.51
220.31412;-0.09649;5664;8.8
225.47529;-2.56805;1400;6.7
240.01518;-9.64689;1789;8.7
227.94001;-3.58624;4500;8.7
241.64806;-10.34066;1786;9.105
232.55443;-5.85117;2900;9.04
225.09867;-1.99819;12600;9.18
223.60035;-1.18261;1417;8.21
224.0591;-1.406;5410;8.8
224.2236;-1.47261;2123;8.8
189.7279;15.21766;1285;9.23
227.02417;-2.88049;2964;9.12
239.9388;-9.3049;900;7.56
233.26667;-5.98138;1870;9.18
226.13164;-2.32036;2436;9.225
222.64123;-0.51013;2276;8.755
219.88479;1.01179;1800;8.74
237.88883;-8.14394;1300;9.0
224.26807;-1.17286;1056;7.104
226.57984;-2.31411;2251;7.853
226.31492;-2.16807;1706;9.32
216.30112;3.24799;5805;8.3
230.04518;-3.80048;1000;8.84
212.60223;5.35985;4390;8.95
139.58474;27.35157;1900;7.85
209.67212;6.99261;550;8.55
222.60022;0.36532;4650;9.15
223.43697;0.00368;500;7.47
222.77966;0.35083;1628;8.88
213.46308;5.68916;800;8.49
236.77415;-6.26299;1750;8.08
224.20599;0.32043;1634;8.585
224.76794;0.06784;1882;8.38
238.36839;-6.79181;1750;9.18
220.59711;2.48747;3095;8.065
224.68536;0.38415;1170;8.1
234.31716;-4.63689;750;8.51
243.56923;-9.1855;4023;9.06
242.98924;-8.80242;472;7.08
227.492;-0.5661;6140;9.5
257.92136;-15.37782;288;8.7
231.02518;-2.27973;630;8.72
203.38961;11.80253;1949;8.9
247.33844;-10.49997;3027;8.315
228.25573;-0.77635;1520;8.3
248.76497;-11.13218;316;7.407
229.80703;-1.42615;1120;8.8
237.69045;-5.4541;1600;8.73
231.63533;-2.18729;3840;8.9
238.17888;-5.54824;1480;6.7
235.61985;-4.10719;3930;7.8
233.54379;-2.9031;3416;8.7
235.59641;-3.8374;1400;6.7
227.86044;0.25796;3054;8.826
217.23006;5.93471;5250;8.8
223.00293;3.02002;1919;8.3
233.70325;-2.6322;1023;8.495
214.68931;7.38603;13200;9.7
236.56193;-4.12218;2128;7.85
219.25291;5.18129;4630;8.8
217.28759;6.29459;3113;8.95
242.67321;-6.80426;4500;9.18
233.78842;-2.05479;2160;8.2
227.53331;1.3445;2380;8.5
237.12822;-3.73121;1263;8.325
211.78483;9.59876;4800;9.45
228.41461;1.01978;1468;8.463
238.48009;-4.28333;442;7.2
244.92974;-7.59118;405;7.548
239.92793;-4.94146;1056;7.648
235.26997;-2.461;3400;8.45
231.79631;-0.5873;1900;8.15
235.38986;-2.3928;3070;7.15
235.96051;-2.51834;1797;8.0
235.63441;-2.28141;1607;8.7
230.27892;0.6219;2800;
233.23338;-0.93353;2640;8.4
259.55924;-14.24367;4700;9.53
238.33122;-3.64088;2083;8.65
242.45138;-5.75232;1208;8.5
244.57992;-6.81394;3894;8.65
250.27815;-9.70804;4317;9.26
221.97997;5.36499;500;8.6
204.60511;13.98777;512;9.07
238.21335;-3.33156;1474;7.43
227.52326;2.62718;588;
236.39634;-2.15941;3750;9.4
230.79756;0.93531;3000;8.45
230.81746;1.0068;3700;9.3
210.7831;11.46899;940;8.95
235.60906;-1.57338;2749;9.0
233.43188;-0.32592;2936;7.9
243.04318;-5.42581;1609;9.03
229.66525;1.85394;5888;7.8
233.75465;-0.18685;2494;7.1
206.50803;13.90071;2070;8.475
238.08202;-2.40537;3060;8.78
230.98296;1.48411;2299;8.55
232.45422;0.76966;872;7.545
231.15445;1.52766;1706;8.44
226.3686;4.1733;9120;9.4
232.75309;0.77376;2291;7.0
229.86066;2.43394;4500;8.975
228.8979;2.96047;1983;7.78
234.74515;-0.2179;3981;7.0
237.95297;-1.71862;1500;8.71
229.60124;2.91792;440;8.46
231.4115;1.94556;3455;6.976
242.59338;-4.16117;1670;8.6
235.87479;-0.44751;1836;8.265
229.97375;2.84737;700;8.58
232.02364;1.97872;4336;6.7
235.37549;0.15122;1920;6.95
242.38888;-3.51978;5800;8.9
236.27052;0.06898;2200;7.9
230.95812;3.13023;490;7.861
238.75415;-1.16868;3585;8.895
236.26915;0.27537;3200;8.2
246.50132;-5.40111;3596;9.1
230.48353;3.53685;766;8.867
232.0607;2.68282;1820;8.6
241.42309;-2.55535;6287;9.01
228.94875;4.49789;3154;8.371
241.60104;-2.52648;1490;8.95
231.50416;3.29705;3550;9.34
198.10712;19.63403;2480;9.3
227.84107;5.36067;3981;8.78
248.12543;-5.87624;13341;9.335
233.07107;2.71398;2100;8.68
245.65701;-4.30961;4712;8.76
232.90817;2.89725;650;8.68
242.49353;-2.49876;1400;8.6
247.98791;-5.48343;2806;6.742
143.62502;29.46553;1133;9.48
245.00888;-3.72474;714;
246.44243;-4.46666;1300;7.0
235.4712;1.77827;1900;8.7
245.64804;-3.92714;1606;9.02
240.10362;-0.74428;2312;8.6
233.05839;3.25808;2100;8.49
231.85758;4.06442;1510;8.4
250.08816;-5.97413;930;9.0
252.57541;-7.29861;189;7.78
249.37279;-5.2442;1490;9.0
252.05089;-6.72647;302;7.648
240.03862;0.13459;1037;8.588
240.7594;-0.26365;1040;7.19
243.98548;-2.05055;3483;8.35
241.56629;-0.57283;5346;7.08
247.95158;-4.15765;3500;7.3
260.19458;-10.86983;1031;8.705
237.20249;2.15656;2630;9.0
238.55699;1.38146;1558;8.81
246.66193;-3.24625;3910;8.6
223.4614;10.09449;4780;9.9
219.35305;12.35268;370;8.44
248.21354;-3.94075;4230;8.8
243.27511;-0.93969;2150;7.187
242.5928;-0.33352;1681;7.606
243.99297;-1.13703;1980;9.0
243.18264;-0.6061;4440;7.8
243.21922;-0.61896;2255;8.7
238.35369;2.32033;2650;8.26
256.94808;-8.37273;1613;9.0
234.93991;4.5268;5250;9.48
242.09722;0.46724;3165;7.078
237.564;3.18564;2928;8.73
245.88599;-1.72986;4100;9.0
239.31622;2.32007;2121;9.215
247.7055;-2.52713;2880;7.7
244.5841;-0.54636;2770;9.2
253.56332;-5.83768;1341;8.85
248.8262;-3.03949;1150;8.65
239.73293;2.39587;4591;9.005
243.17229;0.37767;1355;7.103
273.09937;-16.27258;550;8.33
243.15137;0.44666;6028;6.893
243.08086;0.52361;6400;6.65
266.45506;-12.84665;800;8.57
244.73604;-0.38462;1000;8.28
243.77906;0.37014;3150;8.84
253.5395;-5.30073;8020;8.78
235.98434;5.38089;1585;9.0
242.56201;1.44338;5200;
241.62575;2.03453;1194;8.65
244.79078;0.23929;1659;7.089
243.07182;1.28457;2289;8.001
246.71276;-0.77315;3957;7.264
246.97206;-0.9306;3117;8.121
243.32624;1.63878;5457;8.6
246.24623;-0.04332;4499;8.49
273.81575;-15.85582;409;8.052
250.96601;-2.84051;8500;8.8
245.92998;0.34736;1300;8.47
245.74551;0.48224;4730;6.941
244.94341;1.0838;1212;7.8
240.77597;3.65477;3677;8.35
235.32171;7.02755;1888;9.3
230.56385;9.93472;3750;9.0
247.35986;-0.13897;1848;8.65
237.84001;5.84794;912;9.9
244.85002;1.63306;2951;7.92
257.15184;-5.84728;2330;10.1
259.58063;-7.3023;1783;9.35
264.9227;-10.44385;1100;7.89
248.25213;-0.18788;3006;7.89
247.16809;0.51161;2273;8.5
249.13128;-0.63782;3030;8.6
261.37502;-8.1627;421;7.142
244.71581;2.26816;1823;7.93
248.21183;0.12421;1834;8.775
248.04753;0.26992;2514;9.0
248.70476;-0.14391;2860;7.21
246.08736;1.85498;601;8.649
249.20124;-0.08834;2311;8.57
249.33548;-0.15675;2177;8.2
248.57939;0.75945;830;9.05
247.79959;1.30974;1700;8.84
249.8787;-0.01785;3050;8.45
253.01838;-2.01204;3240;9.48
253.59312;-2.11729;3030;8.6
262.80269;-7.68574;336;
264.46489;-8.59747;361;7.585
233.70531;11.1115;1363;8.57
252.19029;-0.62725;2391;8.5
244.99062;4.12497;1700;8.59
256.74385;-3.49086;2290;8.65
250.03173;0.95909;5470;8.9
254.85515;-1.98593;919;7.874
250.69114;0.8042;4600;7.0
