#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
# longitud latitud  Dist  Edad   
# (deg)    (deg)    (pc)  (log t [yr])
#
l;b;d;Age
246.77485;3.377;3050;9.4
257.29075;-3.51292;410;8.7
258.52175;-4.22386;8240;9.0
227.87247;15.3929;770;8.6
254.08111;-0.95941;480;8.4
250.43564;1.56522;2229;8.85
246.3158;4.37837;1764;8.975
249.60915;2.33908;1000;7.47
253.63247;-0.31093;3000;7.12
264.4407;-7.32859;900;7.71
258.85113;-3.33785;3310;9.06
255.11197;-0.71125;5907;7.928
249.79508;2.96098;1677;8.469
249.10599;3.53216;1342;7.488
254.01221;0.24973;3888;9.2
261.9351;-5.11208;1146;8.635
253.07025;0.93918;874;7.727
254.67414;0.21262;1033;7.61
249.87096;3.67467;4000;8.2
254.97779;0.32908;750;6.95
252.2796;2.4492;4950;8.65
255.05553;0.55711;1486;8.11
249.45867;4.47228;2700;8.7
249.2769;4.81038;2187;8.915
259.24181;-2.12089;2170;8.9
264.10275;-5.51008;6160;8.6
253.49574;2.13548;3900;9.11
257.99479;-1.00138;6600;9.3
259.46046;-1.71924;2410;8.75
254.17158;2.12821;2760;9.05
260.01143;-1.85214;2740;9.05
258.68558;-0.81061;2397;8.3
276.14557;-12.75389;1320;8.9
241.63926;11.58447;2059;7.75
262.57547;-2.96946;950;8.48
257.86484;0.50186;1394;9.027
260.43454;-1.3068;3048;8.85
258.29547;0.27458;900;7.88
255.94677;2.0305;2695;9.0
260.6847;-1.29816;2980;8.9
242.50072;11.782;2160;8.735
265.80134;-5.0157;3760;8.7
257.39447;1.61545;400;9.09
262.86332;-2.43879;593;7.533
262.35328;-1.78453;11220;8.84
267.64931;-5.48491;3090;8.8
262.92651;-1.91556;2644;7.05
251.58344;6.6507;2000;9.15
259.75637;0.5296;800;8.45
259.33981;0.9181;869;7.197
264.48354;-2.96442;3371;8.2
255.5997;3.9568;4000;8.78
264.78676;-2.90817;1668;7.283
263.07486;-1.55082;500;8.57
265.72088;-3.53823;1864;8.77
265.54028;-3.36472;1659;8.73
263.73682;-1.81183;3530;9.25
205.91954;32.48428;187;8.863
270.36216;-6.83871;175;7.661
258.49331;2.28569;3760;8.78
259.05207;1.99423;4900;8.7
265.08246;-2.57922;1312;7.427
262.79737;-0.79222;1504;8.256
292.48171;-21.65348;97;6.9
266.63649;-3.59194;800;6.8
264.17884;-1.65017;1713;6.89
265.92876;-3.01275;2826;9.033
250.65201;8.88703;1831;9.2
254.55534;6.06984;2021;9.152
258.58591;3.00128;3708;9.45
260.58636;1.46911;1401;8.5
257.26499;4.25846;1990;9.15
266.4496;-2.99798;2010;9.0
265.4328;-2.18036;3910;9.1
265.18872;-1.95773;5754;7.0
261.48578;0.99131;838;7.128
253.94355;6.95799;661;7.9
267.4854;-3.62504;1188;7.69
262.14769;0.78686;1660;7.9
266.69973;-2.84149;1711;8.8
270.83522;-6.09249;1046;7.927
270.80961;-6.04676;667;
270.22495;-5.45258;3413;8.76
262.79063;0.67401;424;7.542
259.37916;3.44279;900;8.14
266.36381;-2.19199;4374;9.4
266.37282;-1.89522;1300;8.78
264.48203;-0.28396;1102;6.85
175.91579;39.2774;860;9.51
216.03479;31.42063;900;9.36
215.39866;31.69384;1783;7.1
262.50376;1.47786;850;7.48
215.696;31.89626;808;9.45
269.23191;-3.76726;3770;9.05
264.64455;0.07652;2840;8.85
258.01007;5.85501;2198;9.55
261.52733;3.74863;4108;9.05
264.48814;1.46338;680;7.24
267.9264;-1.46602;1300;6.7
269.20918;-1.84347;1853;7.2
270.73257;-3.04002;1621;8.88
265.42925;1.96006;4767;6.0
267.48819;0.64951;1366;7.85
274.92328;-5.92134;450;8.96
277.68234;-7.6209;132;7.78
275.62111;-5.61937;4131;8.775
273.89714;-3.9716;885;8.45
268.98737;0.80574;1063;8.615
266.87593;3.37787;174;8.0
271.65664;-0.70767;3600;7.0
261.97952;8.58431;1855;8.626
271.94411;-0.79664;5823;9.05
286.24526;-14.08002;500;8.53
265.27428;6.35742;6170;9.0
263.57746;8.07843;1870;8.65
268.63971;3.21622;1714;9.4
279.55634;-7.50412;6347;9.2
274.17868;-2.16914;7900;8.7
271.63131;0.39919;2300;8.84
263.04383;8.96991;3074;8.9
276.78741;-4.48141;4300;9.15
273.12317;-0.76379;2600;8.3
270.71509;2.1302;2700;9.0
273.7544;-0.9373;1262;7.734
268.89533;4.0514;3360;9.0
276.00267;-3.00626;7000;8.9
275.01002;-1.90163;3910;9.3
273.75895;-0.37548;7500;9.11
276.46396;-3.11699;4129;7.501
277.8298;-4.41922;1134;8.113
275.96419;-2.40875;1500;8.75
270.75052;3.20609;2790;8.75
275.70576;-1.88146;1641;7.987
275.1503;-1.14498;1314;7.35
275.3143;-1.1761;2607;8.203
277.77628;-3.66551;2024;7.419
275.50321;-1.17972;3190;9.1
273.6335;0.95082;5557;9.1
275.93586;-1.25374;774;7.85
275.282;-0.47261;5510;8.3
264.53678;11.12501;400;8.49
272.4928;2.86904;2900;9.11
276.99069;-2.05306;2500;8.25
266.79476;9.20861;1789;7.85
276.83038;-1.20415;1380;8.58
280.56565;-5.36624;2500;8.12
276.27445;-0.3544;2910;8.5
274.68557;1.75702;2062;7.968
274.89896;1.59824;1594;8.635
277.09858;-0.81798;1979;7.093
270.75169;6.70125;2624;8.3
270.75402;6.7077;2500;8.33
276.20206;0.68834;2290;9.35
276.20206;0.68834;2290;9.35
275.39725;1.75303;7690;9.2
279.15881;-2.60673;4602;8.6
277.90345;-0.90362;1200;8.84
271.23967;7.01547;3009;8.98
277.73073;-0.47335;2455;8.5
278.66581;-1.08216;2080;8.75
279.5956;-2.07139;922;7.845
285.31958;-8.81773;1800;8.56
278.50522;-0.6091;2459;8.45
283.66144;-6.83032;1200;8.61
277.8287;0.689;1824;7.839
279.84174;-1.73435;1819;8.2
280.61596;-2.09228;1100;8.45
276.83513;2.77648;1400;8.84
262.71882;19.83417;2255;8.425
274.6338;5.99163;2187;8.62
264.60207;18.8234;3603;9.285
279.61663;0.37684;1819;7.6
279.9147;0.26357;8530;7.3
282.05501;-2.41662;3370;8.75
280.20225;0.06924;1400;8.7
282.83777;-3.39269;7173;8.8
276.9144;4.54361;1501;8.85
283.3317;-3.83954;911;8.093
282.21387;-2.21447;3950;7.3
286.18503;-7.50204;5168;9.3
266.26438;18.6379;2860;8.15
280.71881;0.05903;1203;8.4
281.01024;-0.25385;5212;8.35
284.44224;-4.86061;3100;
281.02119;-0.17382;360;9.29
283.86352;-3.77517;2622;8.2
283.82777;-3.69808;1300;8.81
278.69967;3.37351;1770;8.1
283.95893;-3.85021;1600;8.61
283.32749;-2.69817;1602;8.865
286.38978;-6.87593;800;8.08
284.61129;-4.30574;940;8.39
264.81991;22.28881;1819;8.7
287.96853;-8.59652;1500;8.7
282.17098;-0.33463;2628;6.6
283.12751;-1.45584;2572;7.943
266.20669;22.23815;2150;8.25
287.12826;-6.65522;10607;9.024
281.71159;1.32806;600;7.04
279.37225;4.88336;5254;8.985
284.04028;-1.60113;740;8.21
286.66077;-5.18613;1876;8.98
282.98354;0.4376;1249;
283.78372;-0.51278;550;8.6
280.69705;4.54529;544;7.932
282.18201;2.26198;7410;8.84
290.33864;-10.2121;1983;9.44
285.06506;-1.89465;2025;8.96
282.56586;2.09284;540;9.03
285.51531;-2.35251;2400;8.5
284.27583;-0.3359;2850;6.3
284.56748;-0.34198;1547;8.083
286.0885;-2.63496;1445;8.3
284.58795;0.03503;2446;7.142
141.92373;44.65288;715;9.15
284.99115;-0.38267;750;8.98
286.28517;-2.50251;1415;8.0
285.35486;-0.86376;600;8.45
286.39476;-2.53348;4583;6.0
286.52452;-2.72776;7194;9.15
284.3529;0.86764;380;8.47
283.11765;3.21776;650;8.45
283.05399;3.49056;3084;9.315
285.41744;-0.43722;6000;7.1
286.35758;-1.70513;2820;8.0
284.68694;1.16407;2500;6.96
285.67101;-0.32231;800;8.36
285.67657;0.08191;2670;6.74
286.78381;-1.56934;710;8.38
285.85615;0.07361;2327;7.014
286.11703;-0.36087;1900;9.48
287.69392;-3.04607;1876;8.875
286.23569;-0.28956;1900;9.48
286.22828;-0.18844;2317;6.754
286.5578;-0.62454;507;7.605
284.18767;3.84844;894;8.229
291.50659;-9.15494;910;8.53
286.79376;-0.49988;4430;6.05
285.09584;2.99859;9550;9.3
289.86409;-5.56049;1995;7.89
287.01632;-0.31471;2027;6.857
289.60139;-4.90609;161;7.507
288.08319;-2.04972;398;7.6
287.40805;-0.57736;2900;6.0
287.66767;-1.04714;2201;6.83
287.49293;-0.54363;2300;6.3
287.41003;-0.36877;1853;6.926
287.62381;-0.65171;2900;6.0
286.40954;1.93724;1700;7.96
288.02502;-0.85599;2412;6.764
286.86983;1.49183;900;8.63
286.67273;2.58926;720;8.64
288.43638;-0.66569;3000;7.5
281.86097;12.78946;1485;9.0
286.04837;4.69963;1879;8.0
288.37275;0.01599;3250;8.78
289.63794;-2.54452;3019;8.385
287.93568;1.1612;900;8.92
289.48214;-1.9899;2211;7.65
289.52475;-1.95565;11100;
289.12786;-0.67325;3500;7.24
288.66918;0.44845;2189;7.706
290.31896;-2.99482;3600;
289.53915;-1.26035;800;8.37
289.85431;-1.7752;2218;7.61
288.83386;0.69144;3049;7.45
289.09815;0.31854;3250;7.9
289.1641;0.29663;6660;8.78
289.51473;-0.41135;990;8.471
283.3749;13.28544;3162;9.35
289.63726;-0.24194;5875;6.713
289.46931;0.1394;3504;7.023
290.14215;-0.76819;1500;7.92
293.16267;-7.12322;3019;9.365
289.57081;1.34681;492;8.477
290.0251;0.3847;1159;7.0
290.55474;-0.78451;2000;6.76
290.82114;-1.05134;5593;9.0
276.02656;30.68829;1338;9.21
290.68924;-0.30754;5483;8.85
291.94013;-3.16659;2700;8.35
290.18729;1.23102;5246;8.91
290.70468;0.2022;1995;6.891
290.26491;1.33507;1636;
290.79847;0.07673;1776;6.784
290.79406;0.09294;600;8.63
291.11587;-0.57138;3500;7.09
290.98642;-0.13464;1358;7.194
290.90331;0.11942;2270;7.08
290.87515;0.20541;1577;7.16
274.06411;35.89318;640;8.9
291.20383;-0.17829;1651;7.231
291.20576;-0.17214;2000;7.48
290.50953;1.59576;1577;7.222
289.29315;4.84004;1000;7.76
290.17148;2.89491;1900;9.65
291.61725;-0.52226;6900;6.0
291.39336;0.45624;2208;8.65
292.40206;-1.79898;1238;8.542
293.50653;-4.04104;14000;9.74
292.90393;-2.41192;1715;8.55
291.26495;2.58086;1791;9.0
292.83247;-1.19836;2420;8.65
291.60316;2.3641;1493;8.6
286.76411;16.91843;938;9.077
294.0406;-1.96541;3400;7.19
293.23754;0.61258;780;9.0
292.55545;2.75682;1200;8.55
293.46747;0.70313;2450;8.2
294.11688;-0.03043;2218;7.32
294.8489;-1.6541;1794;6.818
294.56304;0.71052;1500;7.67
294.94238;-0.6351;1740;8.78
295.05262;-0.67244;1380;7.4
294.8398;0.66861;1634;8.495
295.21734;-0.66236;2399;7.3
294.88673;0.73466;1560;8.6
295.38591;-0.53157;2569;6.6
295.61353;-0.68317;4416;6.35
295.76358;-0.22591;2200;8.6
292.45701;13.36282;1100;9.3
294.36722;6.18263;1850;9.1
295.89012;-0.09601;860;9.0
295.82806;0.76292;1520;8.19
296.29613;-0.48976;1450;9.48
295.7134;3.6593;1200;8.71
296.79197;-0.49008;1357;8.343
297.30597;-2.28956;494;8.508
300.2173;-15.60853;114;6.602
297.29109;-0.90662;1209;8.495
297.53076;-1.75125;2944;9.05
297.06912;1.39323;650;8.65
297.63251;-1.47707;660;9.29
297.72102;-0.20671;2435;8.5
299.04657;-7.23721;1000;7.91
297.57358;1.1551;1632;7.393
297.37475;3.09973;2200;8.33
298.37946;-2.70798;4430;9.5
297.66921;1.78038;650;8.05
298.20523;-0.49587;2318;9.05
298.54558;-0.16217;3325;9.15
298.60567;-0.1636;1609;7.5
298.78909;-1.02272;6190;9.18
299.01162;-1.83596;2700;6.92
298.02459;7.4448;1445;9.23
299.65854;-2.10744;1000;8.63
299.99077;-4.82395;1300;7.88
299.38031;3.01757;4319;9.1
299.31303;4.55596;2600;9.2
299.71933;0.82965;2176;8.315
300.45722;-5.72421;1239;7.885
299.65915;2.26956;2702;8.89
221.35279;84.02484;96;8.652
300.11624;-0.68002;6250;9.1
299.96616;1.01063;1423;7.6
300.26348;-1.32161;5229;9.4
299.98438;1.95445;1184;8.032
300.06813;2.63886;1785;7.909
300.14876;1.85264;1250;8.31
299.75727;6.29747;2082;9.115
300.06117;2.92772;969;8.099
300.67405;-3.80895;1828;8.9
300.02594;4.872;2276;7.35
300.64335;-2.01385;1050;7.505
300.69437;1.84162;1100;8.13
300.885;1.23669;950;9.01
301.49631;-4.45962;650;8.19
301.6836;-5.52762;2190;9.95
301.4698;2.20457;3300;9.11
301.89482;-0.14165;1320;7.7
302.04739;-0.24168;3200;6.6
302.42247;2.21764;900;8.41
302.94751;-6.85826;2300;8.75
303.1248;2.10449;1700;7.38
303.09361;-4.29544;3106;8.2
303.20566;2.50891;1976;7.216
303.62489;-2.09706;3079;8.369
304.0352;3.23975;1100;8.3
72.32035;84.59136;1015;9.4
305.12135;-2.5174;1340;8.07
305.33905;0.07961;3600;6.48
305.39345;0.08794;3600;6.7
305.47387;-0.63049;1500;7.11
305.34592;-3.15589;12000;8.9
306.01289;2.6505;970;8.79
305.54125;-4.34735;1963;8.759
306.14857;0.06313;1810;6.9
305.92661;-2.2431;1442;7.478
306.41993;0.72414;1278;8.0
306.16759;-3.51332;1300;8.52
306.49446;-1.02462;1250;8.78
309.34135;20.58302;2818;9.7
307.07362;2.87349;2800;7.29
306.75932;0.14122;925;8.3
307.30957;3.61027;3602;9.4
307.53561;3.51779;1986;7.986
307.13424;0.26246;2226;7.59
305.99254;-8.62183;3835;9.1
307.47726;1.33716;1585;7.047
307.10266;-1.64016;1169;8.322
307.92985;3.75438;5409;9.0
307.59468;1.20155;2095;7.02
307.73152;1.5616;1777;8.001
312.13237;27.08946;1000;9.3
308.25178;3.98359;901;8.424
307.57435;-0.29655;1263;7.696
307.50198;-2.02413;1797;8.75
308.37016;3.17054;500;8.44
307.85935;0.04472;819;
308.28077;2.22221;1952;8.6
308.6624;3.5671;550;8.5
308.15714;0.2001;1100;8.9
308.22605;0.31003;2240;9.08
308.12773;-1.94938;1423;9.04
308.66998;0.59637;3800;
308.71993;-0.87463;1140;9.75
308.78894;-0.73419;2150;9.1
309.57466;3.0774;246;8.0
308.9554;-0.66821;1410;8.2
309.5034;1.90579;700;8.69
309.21617;0.19488;1089;9.35
309.161;-0.71377;1108;7.146
309.33232;-0.2428;3000;6.65
308.63758;-3.77625;232;8.3
308.67203;-3.83178;2204;8.3
309.01025;-2.49156;2158;8.25
309.60837;-1.36587;435;8.23
309.29955;-2.75381;2400;8.34
308.97663;-4.24476;600;7.45
310.68228;2.18459;4028;8.55
310.22922;0.11452;1215;8.202
309.43714;-3.24193;1332;8.0
318.2539;29.02573;2048;8.2
310.74772;0.06959;2088;6.55
311.88494;3.83729;4167;9.175
311.75857;3.31891;500;8.45
311.51886;2.38227;1711;8.065
310.84938;-0.33733;1900;8.0
308.6803;-8.29061;2500;8.3
311.60172;2.11443;2630;8.4
312.30211;2.83805;1063;8.645
309.94958;-5.60865;1300;8.74
312.1805;1.8316;500;8.53
315.74624;12.6281;700;8.2
312.58018;1.69329;1500;8.67
312.00125;-0.8639;2200;6.99
313.76883;3.25532;1753;8.6
311.78894;-3.195;3274;8.25
307.22142;-16.3409;1222;9.35
313.58917;1.97958;1349;8.15
313.92118;2.04181;2000;8.57
313.11153;-0.28825;1400;8.41
314.64193;3.96009;550;8.6
313.86522;-0.45182;900;7.95
316.31483;5.6068;850;8.77
314.84077;0.99381;1805;7.075
314.67034;-0.09987;2000;7.9
315.67374;2.18606;1346;8.84
314.7122;-0.30156;1500;8.9
314.6474;-0.58093;1516;7.95
316.44482;3.30863;1800;9.9
314.59482;-1.47794;1278;8.09
314.89755;-0.89986;1310;8.03
316.99891;3.89499;1469;8.455
316.93699;3.39388;666;7.968
315.65951;0.29826;1121;9.15
329.05961;28.02665;1634;9.5
315.99743;-0.30103;3200;8.9
109.86669;44.67685;25;8.3
315.13924;-2.6405;3412;7.95
317.52839;2.08398;1500;8.9
315.16654;-3.25814;1819;7.9
317.01141;0.57323;2088;8.9
315.9513;-1.74795;2088;8.0
314.28806;-6.07482;440;8.2
319.52888;4.54449;1031;7.728
320.7652;6.42615;1535;7.759
317.41507;-1.08761;2500;8.1
320.96803;5.87295;2800;8.3
306.55918;-21.44177;1380;9.3
316.82877;-3.11133;1764;8.74
322.44235;5.94643;1170;9.2
321.57316;3.59274;933;8.95
314.77019;-8.64685;2400;8.48
321.12469;2.46019;1192;8.9
320.81129;1.56923;912;8.06
321.94617;3.26234;1434;8.96
320.11121;-0.62613;2056;6.8
320.51645;-1.20022;3272;6.864
320.35652;-1.80667;1174;8.11
321.04255;-0.70231;4164;8.915
320.04179;-2.86471;800;6.86
320.82075;-2.05387;1562;8.56
320.92267;-2.73188;1500;7.93
324.36107;1.72012;1170;9.2
332.07264;12.82209;1546;9.3
326.48642;4.26074;575;8.15
318.75868;-6.97694;2231;9.2
324.654;0.65646;1100;9.11
323.00648;-1.74719;6111;8.5
325.61564;1.89906;1478;8.25
323.08347;-1.94545;6206;8.5
327.19954;2.27033;1076;8.29
324.78972;-1.19376;1753;8.975
327.50653;1.98568;900;8.3
327.89952;1.80005;570;8.3
328.83559;2.84794;700;8.38
320.55476;-7.74064;800;8.67
329.53093;3.26995;1423;8.485
329.38412;2.88194;1608;8.5
343.81655;19.80925;1170;9.2
325.07693;-2.64271;1500;8.73
328.10228;1.10597;600;8.4
326.00826;-1.92494;2050;8.6
323.56527;-5.44518;900;7.68
333.02403;5.85302;1475;7.85
325.77998;-2.98598;2690;9.08
324.59439;-4.64378;810;8.23
339.9142;12.94974;4785;9.55
328.85097;-0.47659;1900;8.95
328.54654;-0.98112;2100;7.0
324.55083;-5.884;756;7.889
330.36918;0.3232;1600;7.43
327.23401;-3.49322;2088;8.9
329.28129;-1.49812;1823;8.069
330.9588;-0.84935;2160;8.78
329.74543;-2.20486;1417;8.076
331.46833;-0.59707;1000;7.6
331.90911;-0.28027;2686;8.76
329.83561;-3.28442;1312;8.34
327.7258;-5.42567;891;7.976
333.27275;-0.07059;1050;9.3
334.54318;1.06979;1700;8.85
332.38641;-1.68285;900;8.95
332.49108;-1.62274;937;8.95
334.66806;0.42949;2600;8.48
333.08869;-1.18654;1220;8.475
325.49382;-8.60065;1561;9.55
332.54711;-1.79839;1343;8.11
340.74073;6.01617;512;8.147
60.86629;43.87553;900;9.3
334.91703;-0.19763;1260;8.95
333.27589;-1.8794;956;6.853
335.08826;-0.30169;3266;9.1
336.45891;0.85385;4126;9.07
332.91792;-3.1668;1030;
339.37785;2.51507;1007;7.5
335.22232;-1.42726;1108;7.887
336.38546;-0.49327;2000;8.18
334.39893;-2.34732;1551;8.4
338.40477;1.21069;1014;7.248
7.61573;24.66387;2107;8.97
338.18165;0.45396;2300;8.8
340.64731;2.12222;1547;8.13
340.37031;1.86919;1790;8.72
336.71065;-1.57365;1155;6.775
338.71406;0.10582;1239;8.425
337.99595;-1.06899;2054;6.928
337.90958;-1.22908;1777;7.45
61.58316;40.36864;820;9.7
337.95629;-1.43678;1750;7.45
335.69739;-3.46085;1000;8.75
338.55974;-1.03955;1200;7.9
339.47882;-0.33462;1633;7.5
338.56059;-1.1433;1216;6.78
339.55546;-0.39896;5500;6.7
355.06083;12.42817;1266;9.17
339.89866;-0.21096;1200;7.42
327.3801;-10.74069;1659;8.9
341.60518;0.90924;1139;8.92
340.67241;0.0061;4300;7.54
333.7545;-5.76488;939;9.069
341.15162;0.28258;1475;7.35
343.46435;1.18409;1243;6.843
344.39717;1.80705;1200;8.17
340.91894;-1.08859;881;6.712
337.7319;-3.65967;3584;9.3
344.25869;1.59385;1607;8.05
344.39306;1.61313;1000;
345.46836;2.46564;1131;7.608
344.49593;1.57036;1841;7.1
344.60413;1.61666;2160;7.12
344.72655;1.59716;2910;6.82
344.70091;1.49573;1138;6.919
341.53726;-1.18569;981;7.386
340.68324;-1.91968;865;7.415
335.45979;-6.25068;1510;9.7
347.82854;3.32114;3910;9.55
341.99744;-1.51663;1031;8.336
330.66177;-10.33399;700;7.07
346.04866;1.2997;1080;7.6
344.96568;0.45771;1440;9.0
355.15017;8.01055;900;8.52
339.6058;-4.03327;3612;9.285
344.43923;-0.45434;2200;9.0
2.72739;13.06583;5271;9.175
317.71716;-19.3386;1490;9.315
347.7306;1.97246;479;8.497
347.49166;1.73309;1695;8.05
348.904;2.60822;1723;7.7
349.8889;3.07511;1900;7.17
345.80014;-0.16449;1422;7.995
36.29431;29.16577;1140;9.3
347.34209;-0.39037;1260;8.78
347.90247;-0.68771;2100;8.2
346.78173;-1.51334;1388;7.7
351.20145;1.35975;1077;6.823
345.27911;-3.05649;996;7.058
353.99671;3.009;750;8.01
349.12684;-0.44141;6000;7.78
348.70345;-0.76657;3300;6.6
351.31118;0.62271;414;7.14
351.14588;0.47504;1025;8.7
349.96321;-0.97488;714;
328.89339;-14.75427;500;7.03
349.15621;-1.77384;1818;8.35
353.16483;0.89473;1205;8.6
353.16092;0.89207;1995;7.0
340.08813;-7.90681;888;9.057
353.09071;0.64072;290;6.85
353.0111;0.25592;816;7.95
357.52472;2.84442;1000;8.85
355.85649;1.64379;850;8.5
348.50066;-3.40282;1500;8.77
355.17188;0.98697;3500;9.1
355.50227;0.98562;2588;8.415
351.73644;-1.64532;1467;7.94
349.19533;-3.34064;7086;9.2
354.09998;-0.17341;855;8.9
355.9106;0.90712;1699;6.67
355.11662;0.20852;1802;6.0
358.36954;2.1381;1215;7.2
355.68968;0.04118;985;6.962
354.28463;-0.91696;2325;8.875
352.60093;-2.16614;1948;8.675
355.06358;-0.74226;1211;7.063
347.75991;-5.50933;3210;9.2
356.00997;-0.30438;1343;7.29
353.92991;-1.77377;1192;7.506
333.982;-13.80491;1500;8.78
352.88044;-2.49773;1466;7.351
17.02545;12.30885;161;8.1
351.7338;-3.3377;880;8.65
353.51748;-2.29152;8208;10.1
354.28776;-1.91567;500;8.81
3.73078;3.95957;3054;9.2
355.65853;-1.17679;2400;8.7
352.58158;-3.24174;950;8.78
356.58027;-0.77671;487;7.974
349.98711;-5.14496;760;8.69
344.28802;-8.96842;211;
355.26462;-2.3842;2471;9.15
354.77787;-2.86342;2486;9.2
356.93164;-1.54919;741;8.087
359.99421;0.15551;1182;6.0
359.42112;-0.51789;1000;7.17
359.73813;-0.33349;1514;7.08
30.61916;17.08186;352;7.634
357.94027;-1.60547;778;7.347
3.65572;1.78289;1192;9.1
359.22147;-0.96005;2100;7.7
26.74897;14.66245;280;8.61
353.13161;-4.93684;800;8.65
0.55481;-0.5294;1310;8.2
0.14396;-0.84404;600;9.17
358.44042;-1.91894;1346;6.0
355.39278;-3.75899;560;9.0
359.47755;-1.60053;2080;8.134
15.19766;7.65454;650;9.01
359.76706;-1.87293;766;8.87
1.00528;-1.15017;5246;8.0
0.27036;-1.6432;6664;7.88
1.23787;-1.08507;2626;9.1
29.9402;14.93768;1180;9.54
0.00936;-1.87676;1828;9.0
6.59268;1.95944;1100;8.4
2.21234;-0.6429;1440;8.4
1.39116;-1.1777;7575;8.4
355.86068;-4.50059;301;8.475
357.86318;-3.34086;750;9.0
6.1805;0.84596;4340;9.65
355.74807;-5.25422;1000;8.31
9.89363;2.83423;628;8.477
6.58383;0.78282;2418;8.7
16.4204;6.23381;810;9.58
358.76487;-3.97285;3007;9.2
22.28166;9.32757;5500;9.0
5.1994;-0.46867;4513;8.4
5.14889;-0.51514;1390;9.0
341.35286;-13.53205;2362;9.7
2.24834;-2.29302;986;8.87
11.55371;3.02779;1230;8.6
5.28617;-0.58474;930;9.3
4.85071;-0.9211;1450;8.9
6.41029;-0.23554;550;9.05
29.74954;12.51709;249;7.506
6.38763;-0.49887;578;6.996
37.37833;15.8904;1436;9.3
7.95171;0.32791;2434;6.5
7.08589;-0.28732;816;7.368
2.88113;-2.84363;1900;8.18
7.90696;-0.0304;1720;8.0
7.67729;-0.35477;1205;7.07
9.68609;0.7638;2525;6.6
6.08282;-1.33133;1330;6.867
335.28218;-17.14196;1706;9.1
8.90618;-0.2679;1468;8.55
3.59981;-3.25001;7376;9.5
10.24941;0.32122;2940;6.0
7.32791;-1.38189;938;7.849
8.32945;-1.04958;2500;7.22
9.11015;-0.71825;3470;7.5
58.09896;22.2588;2330;9.36
11.76179;0.64836;1775;8.62
6.47546;-2.38922;1800;8.1
7.13825;-2.13725;1200;6.84
13.43366;1.15853;3400;6.92
2.3595;-5.40179;1211;9.49
9.40866;-1.65132;1000;8.71
7.0005;-3.00159;660;9.5
16.70978;2.24532;4415;6.1
9.06318;-2.09048;460;7.0
13.35004;0.0681;4736;8.4
11.98324;-0.9313;1471;6.882
15.54455;0.91369;850;8.78
9.28252;-2.53365;2040;9.0
6.15785;-4.27838;1500;8.04
352.38422;-11.33368;7562;9.2
12.73337;-0.87096;1481;7.799
11.42205;-1.71247;1640;8.65
12.4554;-1.17362;2330;7.0
12.35169;-1.24296;1190;8.0
17.20669;1.28787;1720;8.48
14.30715;-0.28819;1100;8.6
12.35973;-1.34165;1790;7.46
11.66077;-1.74436;1760;7.14
18.24667;1.69476;1696;6.81
12.8598;-1.30596;3600;8.3
40.21637;12.75788;550;8.0
16.95404;0.79337;1800;6.11
14.18273;-1.01122;1296;7.223
0.65836;-8.15766;750;8.27
330.84353;-20.87822;2314;9.65
15.09524;-0.74536;1300;6.0
16.81587;0.02718;3065;8.0
16.66114;-0.32043;1990;8.0
16.58278;-0.46711;1220;7.7
16.67967;-0.44757;2130;8.0
19.04472;0.79532;1335;8.7
15.02364;-1.62985;1318;7.3
12.3971;-3.22816;1755;7.685
21.05045;1.19998;5785;6.0
16.96542;-1.03525;1258;8.25
343.77703;-16.99734;385;8.8
18.44408;-0.41541;1640;7.4
19.48143;-0.17706;2600;8.6
36.01127;8.32774;376;8.629
19.74395;-0.55939;1550;8.4
17.15643;-2.27656;2325;8.905
19.60405;-1.0279;2239;8.85
18.91489;-1.52031;700;8.86
19.6942;-1.20126;1800;7.48
13.70239;-4.43362;620;7.965
16.78447;-2.91773;1173;7.5
19.87103;-1.35249;1735;8.6
16.47785;-3.11235;1140;9.5
20.00357;-1.39834;2062;8.65
15.78175;-3.58829;1245;8.6
21.63499;-0.78533;1369;7.566
20.7488;-1.27786;1600;8.65
13.90733;-5.60087;800;7.88
24.29418;-0.28693;1164;7.162
36.38077;5.24222;484;8.699
26.22963;-0.14387;5900;7.3
24.11943;-1.26376;1342;8.585
351.2847;-16.6192;3830;8.945
28.12031;0.43803;1381;6.0
27.89657;0.2621;1067;7.5
28.03911;0.16723;1422;7.95
26.35464;-0.78779;1197;7.0
27.23731;-0.40859;2700;8.3
1.54824;-12.94216;800;8.33
28.28085;0.01118;1206;7.862
27.73355;-0.6669;2289;6.0
31.13785;0.83273;2300;7.81
23.87861;-2.91357;1660;8.26
29.08997;-0.44255;1174;8.25
33.03157;1.1525;5387;6.1
9.25476;-10.79182;1150;9.28
27.35534;-1.94659;2178;7.893
29.49073;-0.98017;1516;8.3
15.89347;-7.91832;280;8.71
35.14531;1.75203;1900;8.95
37.1279;2.63291;1910;7.0
31.81576;-0.12117;2069;6.0
29.62083;-1.38545;1388;8.695
16.48831;-8.03091;320;7.5
28.21896;-2.21826;2974;7.863
27.30702;-2.77598;1877;8.4
42.12038;4.71511;1075;8.178
33.11223;0.05622;3800;8.6
14.883;-9.23566;690;7.803
66.86288;15.51471;390;7.731
32.18277;-1.2063;1413;8.6
15.39511;-9.59275;789;7.961
