#Modelo de Vallée 2005					
					
					
#	RGC	=8.50 r0	=2.71 p=1	2.0 k=0.2126	=2.71 p=1
#	For	mat: arm	X Y R		X Y R
1.0000	490.0000	-14.9870	17.8610	23.3160	9.3610
1.0000	495.0000	-16.7960	16.7960	23.7530	8.2960
1.0000	500.0000	-18.5360	15.5540	24.1980	7.0540
1.0000	505.0000	-20.1930	14.1390	24.6510	5.6390
1.0000	510.0000	-21.7480	12.5560	25.1120	4.0560
1.0000	515.0000	-23.1850	10.8120	25.5820	2.3120
1.0000	520.0000	-24.4900	8.9130	26.0610	0.4130
1.0000	525.0000	-25.6440	6.8710	26.5490	-1.6290
1.0000	530.0000	-26.6350	4.6970	27.0460	-3.8030
1.0000	535.0000	-27.4480	2.4010	27.5530	-6.0990
1.0000	540.0000	-28.0680	0.0000	28.0680	-8.5000
					
2.0000	0.0000	5.2870	0.0000	5.2870	-8.5000
2.0000	5.0000	5.3650	0.4690	5.3860	-8.0310
2.0000	10.0000	5.4030	0.9530	5.4870	-7.5470
2.0000	15.0000	5.3990	1.4470	5.5890	-7.0530
2.0000	20.0000	5.3510	1.9470	5.6940	-6.5530
2.0000	25.0000	5.2570	2.4510	5.8010	-6.0490
2.0000	30.0000	5.1180	2.9550	5.9090	-5.5450
2.0000	35.0000	4.9310	3.4530	6.0200	-5.0470
2.0000	40.0000	4.6980	3.9420	6.1330	-4.5580
2.0000	45.0000	4.4180	4.4180	6.2470	-4.0820
2.0000	50.0000	4.0910	4.8750	6.3640	-3.6250
2.0000	55.0000	3.7190	5.3110	6.4840	-3.1890
2.0000	60.0000	3.3020	5.7200	6.6050	-2.7800
2.0000	65.0000	2.8440	6.0980	6.7290	-2.4020
2.0000	70.0000	2.3440	6.4410	6.8550	-2.0590
2.0000	75.0000	1.8070	6.7450	6.9830	-1.7550
2.0000	80.0000	1.2350	7.0060	7.1140	-1.4940
2.0000	85.0000	0.6320	7.2190	7.2470	-1.2810
2.0000	90.0000	0.0000	7.3820	7.3820	-1.1180
2.0000	95.0000	-0.6550	7.4920	7.5210	-1.0080
2.0000	100.0000	-1.3300	7.5450	7.6620	-0.9550
2.0000	105.0000	-2.0200	7.5390	7.8050	-0.9610
2.0000	110.0000	-2.7190	7.4720	7.9510	-1.0280
2.0000	115.0000	-3.4230	7.3410	8.1000	-1.1590
2.0000	120.0000	-4.1260	7.1460	8.2520	-1.3540
2.0000	125.0000	-4.8220	6.8860	8.4060	-1.6140
2.0000	130.0000	-5.5040	6.5600	8.5630	-1.9400
2.0000	135.0000	-6.1690	6.1690	8.7240	-2.3310
2.0000	140.0000	-6.8080	5.7130	8.8870	-2.7870
2.0000	145.0000	-7.4160	5.1930	9.0530	-3.3070
2.0000	150.0000	-7.9870	4.6110	9.2230	-3.8890
2.0000	155.0000	-8.5150	3.9710	9.3960	-4.5290
2.0000	160.0000	-8.9940	3.2740	9.5720	-5.2260
2.0000	165.0000	-9.4190	2.5240	9.7510	-5.9760
2.0000	170.0000	-9.7820	1.7250	9.9330	-6.7750
2.0000	175.0000	-10.0810	0.8820	10.1190	-7.6180
2.0000	180.0000	-10.3090	0.0000	10.3090	-8.5000
2.0000	185.0000	-10.4620	-0.9150	10.5020	-9.4150
2.0000	190.0000	-10.5360	-1.8580	10.6980	-10.3580
2.0000	195.0000	-10.5270	-2.8210	10.8990	-11.3210
2.0000	200.0000	-10.4330	-3.7970	11.1030	-12.2970
2.0000	205.0000	-10.2510	-4.7800	11.3110	-13.2800
2.0000	210.0000	-9.9790	-5.7610	11.5220	-14.2610
2.0000	215.0000	-9.6150	-6.7330	11.7380	-15.2330
2.0000	220.0000	-9.1600	-7.6860	11.9580	-16.1860
2.0000	225.0000	-8.6140	-8.6140	12.1820	-17.1140
2.0000	230.0000	-7.9770	-9.5060	12.4100	-18.0060
2.0000	235.0000	-7.2510	-10.3560	12.6420	-18.8560
2.0000	240.0000	-6.4390	-11.1530	12.8790	-19.6530
2.0000	245.0000	-5.5450	-11.8910	13.1200	-20.3910
2.0000	250.0000	-4.5710	-12.5600	13.3660	-21.0600
2.0000	255.0000	-3.5240	-13.1520	13.6160	-21.6520
2.0000	260.0000	-2.4090	-13.6600	13.8710	-22.1600
2.0000	265.0000	-1.2320	-14.0770	14.1300	-22.5770
2.0000	270.0000	0.0000	-14.3950	14.3950	-22.8950
2.0000	275.0000	1.2780	-14.6090	14.6640	-23.1090
2.0000	280.0000	2.5940	-14.7120	14.9390	-23.2120
2.0000	285.0000	3.9390	-14.7000	15.2190	-23.2000
2.0000	290.0000	5.3030	-14.5690	15.5040	-23.0690
2.0000	295.0000	6.6750	-14.3140	15.7940	-22.8140
2.0000	300.0000	8.0450	-13.9340	16.0900	-22.4340
2.0000	305.0000	9.4010	-13.4270	16.3910	-21.9270
2.0000	310.0000	10.7330	-12.7910	16.6980	-21.2910
2.0000	315.0000	12.0280	-12.0280	17.0100	-20.5280
2.0000	320.0000	13.2750	-11.1390	17.3290	-19.6390
2.0000	325.0000	14.4610	-10.1250	17.6530	-18.6250
2.0000	330.0000	15.5740	-8.9920	17.9840	-17.4920
