#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#
# Edad = log(t)
#longitud   latitud    Dist   Edad   [Fe/H] e_[Fe/H] 
#[grados]   [grados]   [pc]   [año]   [sol]  [sol]
#
l;b;d;Age;FeH;eFeH
247.95158;-4.15765;3500;7.3;;
237.20249;2.15656;2630;9.0;;
223.4614;10.09449;4780;9.9;-0.2;0.04
243.27511;-0.93969;2150;7.187;;
242.5928;-0.33352;1681;7.606;;
242.09722;0.46724;3165;7.078;-0.111;0.09
247.7055;-2.52713;2880;7.7;;
253.56332;-5.83768;1341;8.85;0.07;0.03
243.17229;0.37767;1355;7.103;;
241.62575;2.03453;1194;8.65;-0.07;0.04
244.79078;0.23929;1659;7.089;;
243.07182;1.28457;2289;8.001;;
246.97206;-0.9306;3117;8.121;;
273.81575;-15.85582;409;8.052;0.06;0.03
245.74551;0.48224;4730;6.941;;
230.56385;9.93472;3750;9.0;-0.2;0.02
244.85002;1.63306;2951;7.92;;
248.25213;-0.18788;3006;7.89;;
244.71581;2.26816;1823;7.93;;
246.08736;1.85498;601;8.649;-0.1;0.04
247.79959;1.30974;1700;8.84;;
264.46489;-8.59747;361;7.585;-0.16;0.09
233.70531;11.1115;1363;8.57;0.13;0.03
254.85515;-1.98593;919;7.874;0.12;0.13
250.69114;0.8042;4600;7.0;;
227.87247;15.3929;770;8.6;0.08;0.02
258.85113;-3.33785;3310;9.06;-0.07;0.23
249.79508;2.96098;1677;8.469;0.0;0.05
253.07025;0.93918;874;7.727;;
254.67414;0.21262;1033;7.61;;
252.2796;2.4492;4950;8.65;;
257.86484;0.50186;1394;9.027;;
262.86332;-2.43879;593;7.533;-0.2;
251.58344;6.6507;2000;9.15;-0.12;0.08
259.33981;0.9181;869;7.197;;
255.5997;3.9568;4000;8.78;-0.61;
264.78676;-2.90817;1668;7.283;;
270.36216;-6.83871;175;7.661;-0.01;0.02
265.08246;-2.57922;1312;7.427;;
262.79737;-0.79222;1504;8.256;;
266.63649;-3.59194;800;6.8;0.0;
264.17884;-1.65017;1713;6.89;;
265.92876;-3.01275;2826;9.033;0.04;0.04
254.55534;6.06984;2021;9.152;0.02;0.12
261.48578;0.99131;838;7.128;;
267.4854;-3.62504;1188;7.69;;
262.14769;0.78686;1660;7.9;;
270.83522;-6.09249;1046;7.927;;
262.79063;0.67401;424;7.542;-0.13;0.2
215.696;31.89626;808;9.45;0.03;0.02
269.20918;-1.84347;1853;7.2;;
