 #alfa     delta/R_g
   0.334    1.1116
   0.352    1.0867
   0.397    1.0227
   0.388    1.0357
   0.391    1.0305
   0.450    0.9494
   0.417    0.9944
   0.465    0.9298
   0.830    0.4605
   0.862    0.4190
   0.888    0.3850
   0.894    0.3774
   0.511    0.8681
   0.536    0.8360
   0.517    0.8612
   0.524    0.8520
   0.562    0.8022
   0.575    0.7846
  -0.004    1.8036
  -0.018    1.8036
  -0.011    1.8036
  -0.034    1.8036
  -0.061    1.8036
   0.007    1.7546
   0.075    1.5559
   0.079    1.5463
   0.073    1.5608
   0.086    1.5322
   0.031    1.6666
   0.081    1.5416
   0.094    1.5140
   0.162    1.3846
   0.154    1.3995
   0.151    1.4033
   0.162    1.3846
   0.143    1.4186
   0.189    1.3379
   0.224    1.2804
   0.234    1.2642
   0.256    1.2293
   0.260    1.2231
   0.297    1.1659
   0.282    1.1896
   0.274    1.2017
   0.317    1.1370
   0.357    1.0785
   0.361    1.0731
   0.766    0.5425
   0.751    0.5620
   0.752    0.5600
   0.778    0.5271
   0.761    0.5484
   0.796    0.5041
   0.845    0.4416
   0.858    0.4246
   0.868    0.4114
   0.814    0.4813
   0.793    0.5079
   0.852    0.4322
   0.861    0.4209
   0.836    0.4529
   0.880    0.3963
   0.882    0.3925
   0.906    0.3602
   0.845    0.4416
   0.901    0.3679
   0.860    0.4227
   0.867    0.4133
   0.027    1.6800
   0.038    1.6476
   0.027    1.6800
   0.051    1.6127
   0.020    1.7016
   0.062    1.5860
   0.064    1.5808
   0.081    1.5416
   0.073    1.5608
   0.079    1.5463
   0.109    1.4834
   0.077    1.5511
   0.147    1.4109
   0.151    1.4033
   0.174    1.3627
   0.205    1.3104
   0.201    1.3172
   0.207    1.3070
   0.244    1.2482
   0.264    1.2170
   0.252    1.2356
   0.264    1.2170
   0.290    1.1777
   0.315    1.1399
   0.327    1.1228
   0.329    1.1200
   0.344    1.0977
   0.380    1.0463
   0.355    1.0812
   0.382    1.0436
   0.397    1.0227
   0.458    0.9396
   0.439    0.9642
   0.452    0.9469
   0.456    0.9420
   0.458    0.9396
   0.220    1.2870
   0.254    1.2325
   0.246    1.2450
   0.282    1.1896
   0.276    1.1987
   0.330    1.1172
   0.419    0.9918
   0.408    1.0072
   0.485    0.9034
   0.456    0.9420
   0.474    0.9177
   0.495    0.8892
   0.527    0.8474
   0.499    0.8845
   0.534    0.8382
   0.575    0.7846
   0.577    0.7824
   0.614    0.7348
   0.560    0.8045
   0.611    0.7390
   0.672    0.6617
   0.662    0.6740
   0.677    0.6556
   0.642    0.6989
   0.721    0.5993
   0.741    0.5737
   0.732    0.5855
   0.723    0.5973
   0.768    0.5406
   0.758    0.5522
   0.825    0.4680
   0.804    0.4946
   0.851    0.4340
   0.868    0.4114
   0.898    0.3717
   0.880    0.3963
   0.904    0.3640
   0.857    0.4265
   0.024    1.6870
   0.088    1.5276
   0.103    1.4963
   0.111    1.4792
   0.081    1.5416
   0.151    1.4033
   0.116    1.4708
   0.211    1.3003
   0.187    1.3414
   0.209    1.3037
   0.226    1.2772
   0.278    1.1957
   0.246    1.2450
   0.286    1.1837
   0.272    1.2047
   0.319    1.1342
   0.329    1.1200
   0.323    1.1285
   0.348    1.0922
   0.401    1.0175
   0.382    1.0436
   0.406    1.0097
   0.416    0.9969
   0.427    0.9817
   0.461    0.9347
   0.495    0.8892
   0.476    0.9154
   0.497    0.8868
   0.529    0.8451
   0.534    0.8382
   0.562    0.8022
   0.611    0.7390
   0.665    0.6699
   0.660    0.6761
   0.659    0.6781
   0.668    0.6658
   0.655    0.6823
   0.708    0.6152
   0.743    0.5717
   0.755    0.5561
   0.734    0.5835
   0.755    0.5561
   0.793    0.5079
   0.775    0.5310
   0.787    0.5156
   0.781    0.5233
   0.813    0.4832
   0.827    0.4642
   0.860    0.4227
   0.871    0.4077
   0.878    0.3982
   0.877    0.4001
   0.897    0.3736
   0.086    1.5322
   0.135    1.4342
   0.105    1.4920
   0.141    1.4225
   0.179    1.3556
   0.170    1.3699
   0.199    1.3206
   0.183    1.3485
   0.211    1.3003
   0.240    1.2545
   0.252    1.2356
   0.236    1.2610
   0.323    1.1285
   0.332    1.1144
   0.344    1.0977
   0.340    1.1032
   0.371    1.0596
   0.380    1.0463
   0.386    1.0384
   0.406    1.0097
   0.439    0.9642
   0.436    0.9692
   0.450    0.9494
   0.474    0.9177
   0.524    0.8520
   0.541    0.8292
   0.551    0.8156
   0.575    0.7846
   0.589    0.7671
   0.621    0.7263
   0.646    0.6947
   0.634    0.7094
   0.668    0.6658
   0.697    0.6292
   0.689    0.6393
   0.727    0.5914
   0.734    0.5835
   0.734    0.5835
   0.768    0.5406
   0.748    0.5659
   0.880    0.3963
   0.882    0.3925
   0.885    0.3888
   0.890    0.3831
   0.902    0.3659
   0.918    0.3448
   0.961    0.2802
   0.013    1.7258
  -0.013    1.8036
  -0.007    1.8036
  -0.036    1.8036
   0.033    1.6601
   0.046    1.6240
   0.051    1.6127
   0.086    1.5322
   0.083    1.5369
   0.088    1.5276
   0.172    1.3663
   0.181    1.3520
   0.189    1.3379
   0.168    1.3736
   0.193    1.3310
   0.176    1.3591
   0.242    1.2514
   0.252    1.2356
   0.266    1.2139
   0.256    1.2293
   0.274    1.2017
   0.309    1.1485
   0.266    1.2139
   0.340    1.1032
   0.382    1.0436
   0.374    1.0543
   0.388    1.0357
   0.416    0.9969
   0.419    0.9918
   0.470    0.9226
   0.463    0.9322
   0.494    0.8915
   0.494    0.8915
   0.525    0.8497
   0.539    0.8314
   0.550    0.8179
   0.586    0.7714
   0.602    0.7498
   0.642    0.6989
   0.619    0.7284
   0.670    0.6637
   0.686    0.6434
   0.704    0.6212
   0.721    0.5993
   0.740    0.5756
   0.761    0.5484
   0.774    0.5329
   0.795    0.5060
   0.813    0.4832
   0.855    0.4284
   0.827    0.4642
   0.826    0.4661
   0.871    0.4077
   0.817    0.4775
   0.870    0.4095
   0.884    0.3907
   0.937    0.3173
   0.951    0.2970
   0.793    0.5079
   0.798    0.5022
   0.940    0.3133
   0.957    0.2866
   0.964    0.2759
   0.971    0.2647
   0.972    0.2624
   0.996    0.2133
   0.209    1.3037
   0.226    1.2772
   0.286    1.1837
   0.270    1.2078
   0.276    1.1987
   0.579    0.7802
   0.553    0.8134
   0.608    0.7433
   0.599    0.7541
   0.596    0.7584
   0.654    0.6843
   0.597    0.7562
   0.606    0.7455
   0.672    0.6617
   0.699    0.6272
   0.713    0.6092
   0.734    0.5835
   0.741    0.5737
   0.790    0.5118
   0.031    1.6666
   0.038    1.6476
   0.046    1.6240
   0.109    1.4834
   0.116    1.4708
   0.166    1.3772
   0.189    1.3379
   0.183    1.3485
   0.118    1.4666
   0.191    1.3344
   0.164    1.3809
   0.160    1.3883
   0.187    1.3414
   0.205    1.3104
   0.334    1.1116
   0.260    1.2231
   0.213    1.2970
   0.260    1.2231
   0.181    1.3520
   0.344    1.0977
   0.329    1.1200
   0.428    0.9792
   0.449    0.9518
   0.483    0.9058
   0.524    0.8520
   0.520    0.8566
   0.543    0.8269
   0.589    0.7671
   0.624    0.7220
   0.613    0.7369
   0.629    0.7157
   0.597    0.7562
   0.575    0.7846
   0.619    0.7284
   0.651    0.6885
   0.689    0.6393
