# Fotometría NGC 1261 Kravtsov+2010
#
# bs = candidatas a blue stragglers
#
# Xpos   Ypos    Vmag     U-B     B-V     V-I   bs
# pix     pix     mag     mag     mag     mag   
#  
1120.2  1249.8  19.139  99.999   0.440   0.676  99
1106.4  1226.2  19.140  99.999  99.999   0.139  99
1250.5  1452.9  19.144   0.183   0.642   0.779  99
 987.3  1015.9  19.146  99.999   0.312   0.602  99
1059.0  1065.8  19.149  99.999  99.999   0.894  99
 825.7   937.3  19.149   0.069   0.518   0.772  99
1250.9  1362.0  19.150  -0.085   0.526   0.543  99
1126.3   889.0  19.151   0.091   0.673   0.761  99
 909.2  1317.0  19.158  -0.063   0.463   0.604  99
 931.8   948.8  19.160  -0.080   0.475   0.504  99
1164.6   814.3  19.162   0.027   0.665   0.790  99
1184.1  1010.1  19.166  99.999  99.999   0.801  99
1158.2   944.0  19.167  99.999   0.481   0.540  99
1128.3  1227.4  19.167   0.021   0.449   0.644  99
1177.1   971.3  19.170  -0.075   0.428   0.416  99
 970.4  1112.1  19.171  -0.168   0.393   0.517  99
 989.6  1218.0  19.172   0.187   0.572   0.776  99
1087.7  1064.6  19.172   0.315   0.491   0.780  99
1239.9  1334.8  19.173   0.165   0.626   0.757  99
 971.4  1186.6  19.173  -0.074   0.534   0.670  99
1668.6  1160.7  19.173  -0.065   0.628   0.780  99
1073.0  1000.4  19.177  99.999   0.809   0.805  99
1190.2  1315.5  19.178  99.999   0.425   0.570  99
1147.8   982.2  19.179  99.999   0.501   0.595  99
 969.3  1160.9  19.179   0.009   0.442   0.644  99
1314.4  1130.5  19.183  99.999   0.460  99.999  99
1188.3   943.9  19.184  -0.032   0.649   0.776  99
1044.8   952.6  19.186  -0.223   0.554   0.680  99
1175.0  1089.9  19.186  99.999   0.458   0.467  99
 837.2  1257.2  19.186  -0.038   0.615   0.774  99
1348.4   955.8  19.187   0.139   0.639   0.760  99
1175.1  1389.2  19.189  -0.112   0.455   0.580  99
1209.8  1004.5  19.189  -0.178   0.405   0.448  99
1147.0  1308.5  19.191  -0.015   0.379   0.485  99
1188.3  1274.5  19.195  -0.089   0.457   0.611  99
 853.0  1517.5  19.197   0.033   0.625   0.781  99
1144.6  1181.2  19.197  99.999   0.330   0.583  99
1392.0   888.6  19.198   0.093   0.619   0.774  99
 959.3  1002.8  19.202  -0.059   0.454   0.539  99
 997.7  1381.4  19.202  99.999   0.600   0.739  99
1045.7  1017.9  19.204  -0.060   0.417   0.420  99
1068.0  1285.8  19.205   0.107   0.314   0.535  99
 946.1   959.7  19.206  -0.052   0.437   0.534  99
 969.8  1190.5  19.206  -0.047   0.510   0.578  99
1263.4  1178.8  19.206  -0.143   0.435   0.460  99
1216.3  1018.9  19.208  -0.073   0.418   0.552  99
1039.4   975.7  19.208  99.999   0.409   0.309  99
 496.4   625.7  19.210  -0.101   0.659   0.738  99
1125.5   924.9  19.210   0.255   0.511   0.650  99
 933.9  1108.5  19.210  -0.103   0.454   0.565  99
1201.8  1163.7  19.210   0.192   0.240   0.332  99
1454.2   921.3  19.211   0.169   0.650   0.741  99
 776.0  1223.1  19.211   0.031   0.637   0.747  99
1225.2  1052.9  19.217   0.146   0.683   0.761  99
1170.2  1067.8  19.219  -0.191   0.669   0.904  99
1238.2  1178.3  19.219  99.999   0.641   0.823  99
1422.4  1338.8  19.220  -0.018   0.601   0.774  99
 944.8  1304.6  19.222  -0.070   0.466   0.569  99
1168.0  1093.3  19.222  -0.100   0.388   0.484  99
 950.2   990.9  19.223  -0.081   0.488   0.557  99
1071.0  1022.3  19.225   0.140   0.690   0.874  99
 898.0  1060.0  19.226  99.999   0.496   0.484  99
1242.7  1223.6  19.228   0.027   0.468   0.554  99
1229.5  1269.5  19.229  -0.013   0.425   0.534  99
 952.6  1397.0  19.232  -0.155   0.601   0.763  99
 759.9   752.1  19.233  99.999   0.660   0.762  99
1126.0   991.7  19.235  99.999  99.999   0.550  99
1266.8  1094.9  19.235  99.999   0.689   0.736  99
1459.3  1509.5  19.235  99.999   0.499   0.671  99
1318.7  1206.0  19.237  99.999   0.637   0.717  99
 981.0  1171.9  19.239   0.147   0.601   0.820  99
1109.9  1391.1  19.242  99.999  99.999   0.501  99
1008.1  1242.8  19.243  -0.109   0.684   0.649  99
1033.8  1274.0  19.244  -0.016   0.447   0.608  99
 935.4  1276.6  19.244  -0.108   0.448   0.533  99
 732.6  1096.7  19.245  -0.105   0.445   0.612  99
1360.1  1274.1  19.246   0.044   0.582   0.722  99
 928.3  1149.3  19.249  -0.164   0.500   0.563  99
1141.1  1059.8  19.250  99.999   0.458   0.444  99
1091.0  1304.8  19.250  99.999   0.473   0.615  99
1219.5  1041.5  19.251  99.999   0.428   0.484  99
 976.8  1135.1  19.252   0.225   0.435   0.792  99
1276.7  1182.8  19.252  99.999   0.401   0.438  99
1234.3  1189.2  19.255  -0.050   0.453   0.559  99
1295.0  1103.1  19.255   0.231   0.398   0.608  99
 259.7  1775.5  19.257   0.222   0.860   1.039  99
1205.8  1321.2  19.257   0.031   0.554   0.634  99
1209.6  1045.7  19.265  99.999   0.553   0.639  99
1494.5  1222.2  19.265  99.999   0.626   0.744  99
1190.0  1118.0  19.266  99.999   0.333  99.999  99
 860.5  1135.9  19.266   0.041   0.548   0.674  99
1360.6  1406.9  19.267  -0.092   0.625   0.732  99
 443.1  1935.8  19.267  -0.215   0.461   0.621  99
1145.2  1371.6  19.268  -0.080   0.628   0.731  99
1125.6  1310.1  19.268  -0.156   0.524   0.717  99
1039.6   775.3  19.269  99.999   0.654   0.745  99
1091.4  1106.3  19.269   0.349  -0.031   0.238  99
1059.7  1291.8  19.269  99.999  99.999   0.502  99
1343.4  1304.8  19.270  -0.070   0.431   0.442  99
1442.0  1070.8  19.271   0.106   0.616   0.757  99
 667.6  1460.1  19.272  -0.071   0.599   0.731  99
1109.6   851.8  19.272  99.999   0.465   0.575  99
1277.2   706.3  19.273  -0.165   0.478   0.638  99
1240.1  1187.7  19.273  -0.152   0.415   0.542  99
1089.6  1294.8  19.274   0.055   0.329   0.624  99
 646.0  1430.1  19.275  -0.058   0.619   0.756  99
1110.5   898.5  19.276  99.999   0.484   0.587  99
1313.5  1020.6  19.277   0.084   0.603   0.739  99
 927.2  1266.5  19.278   0.125   0.595   0.767  99
1513.5  1477.2  19.279  -0.181   0.138  99.999  99
 969.4  1389.2  19.279  -0.092   0.475   0.633  99
 992.3  1013.6  19.282  99.999  99.999   0.584  99
1158.7  1098.5  19.283  -0.187   0.479   0.365  99
 975.1  1251.2  19.284  99.999   0.443  99.999  99
1114.2  1285.0  19.285  -0.061   0.419   0.486  99
1253.6  1720.1  19.286  -0.052   0.536   0.687  99
 904.6  1301.1  19.286  99.999   0.416   0.517  99
 735.5  1679.7  19.286   0.051   0.634   0.768  99
1054.4  1346.8  19.287  -0.047   0.381   0.558  99
 820.4  1206.1  19.289  -0.061   0.473   0.542  99
1060.7  1031.6  19.289  99.999  99.999   0.589  99
1099.5  1274.3  19.290   0.425  99.999   0.605  99
1379.0  1154.5  19.292  99.999   0.466   0.496  99
 872.7   966.0  19.293  -0.117   0.617   0.754  99
1096.6  1034.1  19.293  99.999  99.999   0.587  99
 870.9  1129.4  19.293  -0.129   0.505   0.644  99
1154.0  1204.8  19.295  -0.037   0.402   0.657  99
1063.5   677.9  19.298  99.999   0.641   0.745  99
 913.4  1025.2  19.298  -0.029   0.429   0.539  99
1276.6  1059.7  19.299  -0.019   0.434   0.475  99
1138.7  1274.1  19.299   0.097   0.570   0.601  99
 929.9  1198.1  19.299  99.999   0.457   0.543  99
1172.3  1001.1  19.303  -0.100   0.633   0.696  99
 999.8  1354.2  19.305  -0.064   0.460   0.611  99
1148.2  1173.1  19.309   0.006   0.467   0.849  99
 912.6  1133.6  19.309  -0.115   0.403   0.622  99
 803.2   988.5  19.310  -0.073   0.528   0.648  99
1203.7  1144.3  19.313   0.045   0.453   0.699  99
1083.6   662.4  19.314   0.033   0.608   0.755  99
1184.6  1376.0  19.315  -0.015   0.422   0.547  99
1143.1   971.5  19.316  99.999   0.551   0.538  99
1055.1  1048.2  19.317  99.999   0.625   0.803  99
1061.5   787.9  19.317  -0.220   0.578   0.713  99
1257.2  1193.1  19.317  99.999   0.652   0.578  99
 975.1   991.8  19.317  99.999   0.461   0.512  99
1919.8  2007.0  19.317  -0.131   0.486   0.713  99
1266.7   904.8  19.320  -0.073   0.613   0.751  99
 832.5  1009.1  19.320  -0.219   0.404   0.552  99
1185.6  1353.9  19.323   0.108   0.424   0.499  99
1200.0  1216.9  19.323   0.082   0.556   0.695  99
1389.4  1601.9  19.324  -0.048   0.589   0.749  99
1024.6  1064.9  19.324  99.999   0.811   0.713  99
1188.4  1550.8  19.328   0.085   0.604   0.763  99
1190.7  1148.5  19.329   0.005   0.394  99.999  99
1513.4  1464.1  19.329  99.999   0.087  99.999  99
1286.0  1087.3  19.331  99.999   0.489   0.533  99
1198.7  1159.6  19.331   0.113   0.355   0.537  99
 805.1  1315.3  19.332  -0.091   0.514   0.669  99
 991.1  1183.4  19.333  99.999   0.360  99.999  99
 783.4  1014.1  19.337  -0.243   0.442   0.666  99
1092.7  1342.5  19.337  -0.038   0.420   0.547  99
1167.6  1155.4  19.338   0.304   0.460   0.443  99
 982.5  1109.1  19.338  99.999   0.557   0.589  99
1084.9  1232.9  19.339  99.999   0.576   0.869  99
1357.3  1385.9  19.339  -0.043   0.475   0.624  99
1198.7  1252.7  19.342  99.999   0.384   0.540  99
1095.3  1226.0  19.342  -0.007   0.363   0.605  99
1487.1  1130.2  19.342   0.067   0.621   0.713  99
 926.5   789.6  19.343  -0.085   0.668   0.746  99
1235.2  1237.5  19.345   0.033   0.514   0.546  99
1239.3   948.0  19.345   0.052   0.658   0.730  99
 996.0  1288.6  19.345   0.010   0.224   0.289  99
 942.3  1225.5  19.346  -0.113   0.468   0.559  99
1302.9  1157.1  19.347  -0.083   0.437   0.557  99
1086.6   931.7  19.348  -0.045   0.482   0.547  99
1351.6   993.2  19.349  -0.133   0.637   0.659  99
1078.5   922.8  19.349  99.999   0.390   0.486  99
1323.7  1227.8  19.349  99.999   0.492   0.659  99
 723.6   739.0  19.350  -0.063   0.559   0.679  99
1071.2  1328.1  19.350   0.012   0.438   0.543  99
1235.1  1103.7  19.351   0.015   0.453   0.556  99
1040.1  1199.9  19.351   0.272   0.611   0.683  99
 842.3  2217.0  19.352  -0.162   0.641   0.808  99
1457.8   938.6  19.352  99.999   0.482   0.601  99
1202.0  1021.7  19.353   0.160   0.604   0.754  99
1032.0  1071.1  19.354   0.002   0.551   0.728  99
1051.6  1323.4  19.354  99.999   0.463   0.669  99
1093.8  1056.6  19.355  -0.075   0.371   0.577  99
1298.4   993.7  19.355  99.999   0.598   0.779  99
 928.3  1019.6  19.355   0.065   0.604   0.716  99
1517.8  1473.0  19.356  -0.396   0.069  -0.155  99
 977.5  1287.6  19.357  -0.151   0.423   0.619  99
1213.7  1385.5  19.358  99.999   0.432   0.515  99
 859.5  1284.1  19.361  -0.158   0.447   0.490  99
1080.8   928.9  19.362  -0.023   0.434   0.467  99
1310.5   540.4  19.362   0.085   0.587   0.737  99
 868.8  1069.4  19.366   0.040   0.439   0.525  99
1199.1  1176.4  19.366   0.311   0.570   0.600  99
1208.1   953.3  19.366  99.999   0.601   0.716  99
 886.0  1105.7  19.368  -0.094   0.432   0.446  99
 987.8  1197.0  19.368  -0.101   0.396   0.480  99
1077.5  1434.6  19.368  -0.153   0.514   0.687  99
1067.6   871.6  19.368  -0.065   0.632   0.715  99
1140.3   967.3  19.372   0.021   0.449   0.456  99
1362.9  1126.1  19.375  -0.194   0.591   0.613  99
 970.8  1102.7  19.376  99.999  99.999   0.977  99
1118.0  1346.9  19.376   0.318   0.431   0.611  99
1189.2  1164.5  19.376   0.102   0.429   0.594  99
1195.1  1027.3  19.377   0.091   0.453   0.559  99
1736.1  2291.2  19.378  -0.084   0.611   0.769  99
 894.4  1086.5  19.378  -0.095   0.654   0.639  99
 899.7  1312.6  19.378  -0.034   0.433   0.525  99
1814.3   242.0  19.379  99.999   0.606   0.742  99
 831.2  1334.1  19.380  -0.107   0.561   0.709  99
1129.7  1015.7  19.385  -0.005   0.420   0.510  99
 824.6  1277.2  19.385  -0.196   0.426   0.555  99
1132.6  1296.7  19.386  -0.228   0.359   0.253  99
1291.0  1103.9  19.387  99.999   0.434   0.466  99
 926.9  1223.0  19.388  -0.034   0.443   0.532  99
1207.9  1198.8  19.388   0.016   0.429   0.636  99
1200.1  1233.8  19.389  -0.156   0.362   0.498  99
1111.1  1198.1  19.390  99.999  99.999   0.707  99
 946.0  1056.5  19.390  -0.032   0.589   0.581  99
1102.5   715.0  19.392  -0.105   0.613   0.769  99
1183.8   939.9  19.393   0.148   0.498   0.621  99
 936.1  1427.3  19.393  -0.054   0.596   0.785  99
 985.5  1286.0  19.394  99.999   0.232   0.483  99
1131.4  1079.2  19.395  -0.084   0.409  99.999  99
1137.2   963.0  19.395  -0.043   0.577   0.660  99
1234.9  1060.2  19.397  99.999  99.999   0.500  99
 990.7  1368.1  19.399  99.999   0.372   0.530  99
1046.3   920.7  19.399   0.066   0.447   0.576  99
 903.8  1218.4  19.400  -0.027   0.477   0.611  99
 718.9  1447.8  19.401  99.999   0.613   0.718  99
 940.0  1190.9  19.401  -0.144   0.444   0.549  99
 855.4  1017.4  19.401  99.999   0.451   0.545  99
1216.0  1001.5  19.402   0.060   0.582   0.747  99
 992.9   699.8  19.402  -0.092   0.600   0.740  99
 618.5  1692.1  19.406  -0.103   0.543   0.705  99
 806.7  1201.5  19.406  99.999   0.567   0.754  99
 870.9  1275.2  19.407  -0.153   0.474   0.530  99
1179.0  1153.7  19.409  -0.136   0.473   0.503  99
 979.1   924.2  19.409  -0.019   0.504   0.593  99
 595.8  1505.9  19.411   0.010   0.573   0.703  99
1259.1  1018.6  19.411  -0.185   0.448   0.524  99
 999.6  1297.5  19.412   0.012   0.592   0.666  99
1333.6  1308.7  19.413  -0.201   0.627   0.707  99
1252.7  1388.5  19.413  99.999   0.555   0.648  99
1775.9   459.6  19.413  -0.208   0.590   0.690  99
1290.7   787.1  19.413  99.999   0.578   0.714  99
1151.1   987.6  19.414  -0.111   0.491   0.461  99
 890.3  1112.8  19.416  -0.190   0.611   0.699  99
1068.2   846.8  19.417   0.015   0.632   0.723  99
1437.3   511.4  19.418  99.999   0.536   0.734  99
1319.1  1336.8  19.419  99.999   0.601   0.753  99
1146.4  1177.4  19.421  99.999   0.352   0.746  99
1278.1  1296.7  19.422  99.999   0.448   0.588  99
 923.2  1219.3  19.422  99.999   0.667   0.691  99
1020.3  1087.9  19.423  -0.114   0.477   0.670  99
 919.3  1213.7  19.423   0.066   0.473   0.662  99
1178.9   958.9  19.425  -0.099   0.520   0.592  99
1122.0  1007.9  19.425   0.075   0.491   0.538  99
 217.5  1239.3  19.426  -0.017   0.572   0.727  99
1024.9   953.6  19.426  -0.128   0.456   0.467  99
 930.1  1010.3  19.427  -0.381   0.767   0.604  99
1230.6  1168.0  19.427  -0.269   0.353   0.507  99
1194.2  1100.0  19.428  99.999   0.390   0.612  99
 894.8  1186.5  19.428  -0.295   0.370   0.595  99
1364.9  1128.0  19.428  99.999   0.608   0.668  99
 722.6  1380.3  19.432  -0.255   0.438   0.544  99
  78.7   853.7  19.433  99.999   0.522   0.713  99
1541.1  1003.8  19.433  99.999   0.628   0.674  99
 676.1  1049.9  19.433  99.999   0.534   0.670  99
1214.8  1197.4  19.434  99.999   0.477   0.496  99
1547.3  1027.9  19.435  -0.020   0.518   0.666  99
1216.8  1123.5  19.436  -0.097   0.539   0.619  99
1604.3  1205.2  19.437  -0.101   0.522   0.665  99
1323.4  1307.5  19.438  -0.148   0.405   0.484  99
 863.1  1345.2  19.439  -0.159   0.418   0.458  99
1421.1  1386.5  19.440   0.024   0.475   0.624  99
 925.6  1138.9  19.440   0.004   0.452   0.587  99
 691.9  1407.5  19.440   0.041   0.562   0.705  99
1475.5   494.8  19.442  -0.147   0.509   0.665  99
 871.1   978.3  19.442  -0.091   0.572   0.685  99
 966.3  1375.1  19.442  -0.137   0.486   0.701  99
1226.8  1514.2  19.444   0.051   0.587   0.727  99
1049.6  1358.8  19.444  99.999  99.999   0.637  99
 962.0  1197.2  19.445  -0.158   0.416   0.497  99
1195.4  1009.2  19.445  99.999   0.428   0.570  99
1024.9   970.5  19.446  99.999   0.564   0.626  99
 891.7  1116.0  19.446  99.999   0.448   0.552  99
 865.7  1090.3  19.447  -0.012   0.449   0.560  99
1053.7  1304.0  19.447   0.299   0.474   0.525  99
1187.6  1041.4  19.448   0.002   0.376   0.453  99
1886.5   816.1  19.449  -0.368   0.539   0.687  99
1194.6  1047.4  19.450  -0.074   0.373   0.402  99
1211.0  1011.2  19.450  -0.108   0.444   0.562  99
1218.6  1132.6  19.450  99.999   0.361   0.488  99
 316.4   327.2  19.451  -0.233   0.566   0.689  99
 797.3   854.5  19.451  -0.112   0.548   0.722  99
 909.3   744.1  19.451  -0.201   0.543   0.730  99
1386.4  1252.9  19.453  -0.117   0.538   0.641  99
1142.0  1259.0  19.455  99.999   0.306   0.694  99
2035.5   353.3  19.456  -0.120   0.555   0.652  99
 869.4  1424.5  19.457  -0.014   0.558   0.752  99
 697.6  1665.6  19.458  99.999   0.566   0.711  99
1232.7  1035.3  19.458  -0.007   0.563   0.748  99
1368.6  1095.6  19.459  -0.164   0.452   0.559  99
1160.3  1049.1  19.461  99.999  99.999   0.566  99
1103.0  1260.5  19.461  -0.029   0.396   0.544  99
1108.3  1031.1  19.461  99.999  99.999   0.670  99
1017.7   951.4  19.462  99.999   0.476   0.444  99
 568.5   927.5  19.462  -0.056   0.566   0.722  99
 925.6  1234.7  19.462  99.999   0.466   0.528  99
1561.6   992.5  19.463  99.999   0.573   0.765  99
1179.0   426.6  19.463  -0.093   0.563   0.708  99
 914.1  1225.3  19.464  -0.178   0.461   0.659  99
 689.4   944.2  19.464  -0.205   0.534   0.663  99
 926.6  1340.0  19.465  -0.218   0.560   0.721  99
1355.0  1618.7  19.467   0.011   0.491   0.690  99
1241.4   923.8  19.467  99.999   0.482   0.565  99
 895.5   979.8  19.468  -0.013   0.599   0.650  99
 907.4   962.4  19.468  99.999   0.475   0.484  99
1026.6   947.0  19.470  99.999   0.591   0.537  99
 916.9  1142.2  19.470  99.999   0.413   0.579  99
1319.3  1152.3  19.471  -0.106   0.434   0.607  99
1206.2   659.6  19.472  -0.002   0.534   0.638  99
 851.4  1085.1  19.473  -0.173   0.567   0.655  99
1112.6  1376.2  19.473  99.999   0.457   0.567  99
1371.2   900.5  19.475   0.053   0.564   0.663  99
 912.0  1517.3  19.475  -0.125   0.493   0.687  99
1653.7   378.1  19.475  -0.110   0.511   0.644  99
 989.7  1377.2  19.477  99.999   0.636   0.776  99
 851.1  1373.2  19.478  99.999   0.415   0.574  99
 969.9  1329.4  19.478  99.999   0.384   0.517  99
1229.5  1190.2  19.479  -0.190   0.439   0.596  99
1059.4  1284.9  19.479  -0.084   0.448   0.599  99
1037.8  1027.0  19.480  -0.094   0.489   0.632  99
1076.5  1355.5  19.481  99.999   0.433   0.564  99
1243.2  1230.8  19.481  99.999   0.373  99.999  99
 939.4  1299.0  19.482  -0.010   0.561   0.619  99
 952.7  1259.9  19.483  -0.039   0.444   0.641  99
1284.8  1092.2  19.483  -0.053   0.585   0.600  99
1278.8  1389.1  19.483  -0.068   0.472   0.627  99
1252.1  1224.7  19.486   0.055   0.580   0.717  99
 978.2  1033.0  19.487  99.999   0.671   0.631  99
1417.6  1591.8  19.487  99.999   0.512   0.661  99
 813.9  1179.6  19.488  -0.271   0.424   0.465  99
 460.2   938.2  19.488  -0.213   0.546   0.661  99
 874.9  1070.6  19.489  -0.176   0.622   0.645  99
1201.1   910.8  19.489   0.041   0.502   0.557  99
1313.4  1190.9  19.490  -0.099   0.458   0.455  99
1388.4  1080.1  19.491  -0.010   0.521   0.590  99
 939.4   560.9  19.492  -0.127   0.484   0.669  99
1130.5  1307.4  19.494  99.999   0.484   0.547  99
 822.6  1137.4  19.494  -0.180   0.561   0.687  99
1007.2   992.3  19.494  -0.063   0.478   0.671  99
1010.7  1389.1  19.494  -0.099   0.448   0.591  99
1386.5  1132.4  19.494  -0.062   0.536   0.615  99
1058.6  1060.1  19.496  -0.391   0.753  99.999  99
1033.3  1455.2  19.499  99.999   0.561   0.718  99
 638.0   969.5  19.499  -0.213   0.505   0.627  99
 864.1  1501.8  19.499  99.999   0.539   0.718  99
1264.0  1434.1  19.500  -0.030   0.528   0.712  99
1032.0  1030.0  19.500   0.022   0.450   0.711  99
 921.4  1028.7  19.500   0.069   0.597   0.696  99
1270.9  1182.7  19.500  99.999   0.408   0.522  99
 933.2  1156.4  19.502   0.206   0.445   0.578  99
1018.6  1007.0  19.502  -0.147   0.593  99.999  99
 991.2  1208.8  19.503  99.999   0.362   0.592  99
1127.0  1441.2  19.503   0.005   0.477   0.598  99
1386.4   993.9  19.504   0.098   0.476   0.624  99
 783.8  1261.0  19.505  -0.069   0.421   0.571  99
1227.3  1290.6  19.505   0.061   0.566   0.802  99
 816.2   984.4  19.506  99.999   0.553   0.706  99
1015.1  1808.8  19.506  -0.167   0.489   0.695  99
1124.5  1555.8  19.506  -0.204   0.466   0.706  99
1861.1  1038.2  19.506  -0.194   0.513   0.713  99
1125.2  1102.5  19.507   0.068  -0.065  99.999  99
 736.2  1041.4  19.509  -0.246   0.515   0.711  99
1283.5  1063.2  19.510  -0.060   0.455   0.538  99
 895.2  1232.5  19.510  -0.123   0.436   0.498  99
1312.8  1416.2  19.511   0.003   0.365   0.525  99
1041.0  1002.9  19.511  99.999   0.417   0.447  99
 826.3  1158.6  19.511  -0.132   0.447   0.534  99
1217.2  1250.5  19.512  99.999   0.424   0.520  99
1029.7  1280.5  19.513   0.027   0.443   0.575  99
 738.0   571.5  19.514  -0.209   0.448   0.665  99
1253.2  1211.5  19.515  99.999   0.315   0.538  99
1107.4  1370.2  19.515   0.119   0.531   0.660  99
1131.1   782.6  19.516  -0.154   0.514   0.589  99
1124.7  1499.6  19.516  -0.105   0.338   0.487  99
 844.5  1287.8  19.517  99.999   0.464   0.642  99
1374.9  1038.6  19.517   0.024   0.465   0.627  99
 987.5  1238.7  19.517   0.216   0.448   0.580  99
 782.6  1172.6  19.518  -0.092   0.534   0.679  99
 944.7  1500.7  19.518  -0.062   0.390   0.510  99
1258.5  1456.2  19.519   0.001   0.523   0.601  99
1129.7  1031.7  19.519   0.270   0.242   0.487  99
1754.1  1212.5  19.521  -0.213   0.490   0.694  99
 941.6  1656.9  19.521  99.999   0.433   0.647  99
 973.2   996.8  19.522  -0.168   0.284   0.323  99
 972.1  1022.3  19.524  99.999   0.564   0.668  99
1285.4   987.9  19.525  99.999   0.419   0.495  99
1290.1  1392.0  19.525  -0.064   0.538   0.656  99
 968.7  1363.0  19.525  99.999   0.567   0.725  99
1032.8   803.8  19.525  -0.158   0.579   0.690  99
 956.8   462.7  19.526  99.999   0.490   0.654  99
1034.8   945.4  19.526  99.999   0.442   0.555  99
1723.9  1018.3  19.527  -0.190   0.454   0.671  99
1153.9  1274.4  19.527   0.144   0.778   0.866  99
1452.5  1524.8  19.528  -0.167   0.583   0.664  99
1206.6  1243.9  19.529   0.219   0.462   0.603  99
1647.8   805.4  19.530  -0.122   0.521   0.641  99
1157.9  1297.5  19.531  99.999  99.999   0.585  99
1127.3   748.3  19.532   0.093   0.468   0.651  99
 966.9  1265.5  19.532  99.999  99.999   0.505  99
1170.9   985.1  19.532  -0.071   0.436   0.515  99
 171.2   593.9  19.533  -0.192   0.455   0.687  99
1173.3  1277.5  19.533  -0.089   0.449   0.434  99
 825.7  1240.9  19.533  -0.042   0.561   0.712  99
 865.1  1002.3  19.534  99.999   0.495   0.599  99
 891.1  1095.7  19.535  99.999   0.559   0.640  99
 985.2  1741.4  19.535  -0.102   0.465   0.661  99
1412.0  1022.0  19.536  -0.090   0.442   0.626  99
 975.9  1177.1  19.537  99.999   0.532   0.626  99
1026.1   883.0  19.537  -0.125   0.590   0.584  99
 949.6  1262.9  19.539  -0.018   0.485   0.633  99
 803.4  1064.4  19.540  -0.151   0.409   0.472  99
 526.3   236.5  19.540  -0.398   0.536   0.740  99
 932.7  1530.8  19.540  -0.115   0.514   0.664  99
 925.8  1274.2  19.541  99.999   0.487   0.502  99
1127.4  1077.0  19.541  99.999   0.432   0.732  99
 935.6  1090.1  19.542   0.121   0.587   0.645  99
 793.1  1354.0  19.543   0.018   0.487   0.677  99
1360.0  1331.5  19.543  -0.033   0.490   0.611  99
 752.2   967.1  19.543  -0.154   0.526   0.600  99
1071.9   813.8  19.544  -0.132   0.590   0.674  99
  96.2   996.2  19.544  -0.139   0.477   0.645  99
 390.5  1518.3  19.544  99.999   0.471   0.634  99
 941.8  1406.1  19.545  -0.041   0.429   0.573  99
 896.4  1116.9  19.545  99.999   0.567   0.674  99
 858.2  1198.8  19.547  99.999   0.617   0.735  99
 873.5   934.0  19.547  99.999   0.450   0.546  99
1099.4   616.2  19.549  -0.140   0.475   0.614  99
1094.8  1013.8  19.550  99.999   0.439   0.571  99
1205.2  1262.7  19.550  99.999   0.520   0.634  99
 804.8  1645.1  19.551  -0.184   0.501   0.655  99
1376.2  1163.0  19.551  -0.188   0.452   0.534  99
 861.5  1306.5  19.552   0.082   0.558   0.673  99
 970.5  1258.9  19.552  99.999   0.440   0.557  99
1236.2  1059.0  19.552   0.019  99.999   0.430  99
1071.1  1363.5  19.552  99.999   0.470   0.569  99
 889.4  1082.2  19.553  99.999   0.478  99.999  99
1026.6  1026.3  19.554  -0.059   0.481   0.609  99
 819.8  1708.1  19.554  99.999   0.439   0.678  99
1119.2  1088.9  19.555   0.017   0.406   0.948  99
 606.8  1148.1  19.556  -0.169   0.461   0.594  99
1284.9  1455.0  19.557  -0.098   0.462   0.592  99
1294.2  1062.1  19.557  -0.032   0.412   0.554  99
 801.3  1303.1  19.557  99.999   0.492   0.621  99
 681.3  1223.7  19.557  -0.101   0.414   0.556  99
1294.4  1250.8  19.557  -0.118   0.433   0.502  99
 862.2  1123.2  19.558  -0.070   0.568   0.651  99
1146.7  1395.8  19.558  99.999   0.456   0.636  99
 932.8  1026.1  19.559  -0.095   0.540   0.677  99
1224.7  1131.8  19.559  99.999   0.487   0.580  99
1161.8  1319.5  19.559  99.999   0.519   0.490  99
 859.3  1187.5  19.561  -0.090   0.490   0.641  99
1399.5  1000.7  19.561  -0.257   0.387   0.513  99
1010.7  1314.2  19.563  99.999   0.424  99.999  99
1132.8  1084.7  19.563   0.101   0.294   0.779  99
 959.5  1044.2  19.564  -0.077   0.469   0.530  99
1279.8  1232.2  19.564   0.021   0.471   0.570  99
1458.3   887.0  19.564  -0.149   0.523   0.615  99
1201.0  1402.5  19.565  -0.089   0.533   0.668  99
1154.9   863.6  19.565  -0.124   0.623   0.689  99
 870.5  1736.4  19.566  -0.119   0.450   0.668  99
1105.0   921.6  19.566   0.007   0.460   0.530  99
 974.4  1271.8  19.566  99.999  99.999   0.612  99
1306.7  1349.4  19.566  99.999   0.403   0.514  99
 881.4  1177.0  19.567   0.031   0.470   0.619  99
 912.7  1179.6  19.567  99.999  99.999   0.620  99
 837.4   962.9  19.568  -0.196   0.486   0.613  99
1408.0  1335.6  19.568  -0.074   0.455   0.577  99
 872.3  1308.4  19.569  -0.008   0.495   0.653  99
1041.9   912.0  19.570  99.999   0.473   0.561  99
1101.9  1392.7  19.572  99.999   0.537   0.723  99
 927.7   858.9  19.572  -0.186   0.535   0.672  99
1066.6  1334.4  19.572  -0.198   0.537   0.530  99
1243.7  1156.1  19.573   0.156   0.379   0.536  99
