# Fotometría NGC 1261 Kravtsov+2010
#
# bs = candidatas a blue stragglers
#
# Xpos   Ypos    Vmag     U-B     B-V     V-I   bs
# pix     pix     mag     mag     mag     mag   
#  
1047.4  1267.4  15.491   0.378   0.875   0.977  99
 997.4  1188.2  15.497   0.113   0.699   0.823  99
1080.1  1148.7  15.514   0.100   0.614   0.808  99
1081.8  1285.3  15.517   0.371   0.908   0.976  99
 969.8  1059.6  15.517   0.478   0.950   1.031  99
1142.6  1126.7  15.534   0.286   0.802   0.915  99
1109.6  1139.4  15.555   0.485   0.946   1.024  99
1108.1  1209.7  15.599   0.554   0.962   1.027  99
1075.8  1118.7  15.602   0.249   0.823   0.925  99
1049.7  1124.5  15.610   0.007   1.015   0.773  99
1165.3  1219.9  15.613   0.384   0.904   0.907  99
 972.1  1091.1  15.614   0.237   0.791   0.938  99
 943.2  1085.8  15.619   0.434   0.941   1.020  99
1294.9  1979.9  15.635   0.120   0.694   0.757  99
1329.1   817.3  15.645   0.319   0.867   0.953  99
 896.3  1637.8  15.668   0.398   0.976   1.040  99
1378.9   540.4  15.672   0.254   0.827   0.933  99
1092.7  1161.8  15.672   0.254   0.805   0.909  99
1037.6  1056.1  15.679   0.039   0.367   0.569  99
1101.3  1059.1  15.689   0.342   0.816   0.921  99
1080.4  1069.5  15.698   0.373   0.898   1.001  99
1041.4  1218.2  15.699   0.382   0.879   0.975  99
 863.1  1082.0  15.707   0.256   0.847   0.965  99
1080.4  1141.7  15.708   0.269   0.871   0.927  99
1025.1  1340.2  15.713   0.413   0.916   0.992  99
1001.0  1115.9  15.728   0.308   0.826   0.948  99
1255.3  1046.9  15.731   0.214   0.770   0.867  99
1055.9  1127.8  15.731   0.318   0.816   0.922  99
1122.4  1210.4  15.731   0.250   0.805   0.902  99
1067.3  1143.0  15.734   0.428   0.843   0.969  99
1316.2   683.4  15.747   0.257   0.800   0.884  99
 898.1  1150.1  15.749   0.195   0.784   0.899  99
1017.9  1115.0  15.753   0.456   0.949   1.047  99
1029.5  1126.0  15.755   0.233   0.769   0.932  99
1078.7  1154.5  15.782   0.535   0.941   0.996  99
1017.2  1035.5  15.784   0.456   0.933   0.999  99
1055.6  1174.3  15.788   0.239   0.777   0.879  99
1203.7  1271.9  15.788   0.281   0.835   0.934  99
1179.7  1144.3  15.792   0.286   0.815   0.916  99
1114.3  1236.3  15.802   0.540   0.955   1.005  99
1091.0  1114.4  15.807   0.347   0.853   0.940  99
1189.7   929.2  15.808   0.271   0.805   0.908  99
  86.3   864.2  15.809   0.751   0.992   1.053  99
1168.4  1126.6  15.823   0.547   0.953   1.006  99
 978.8  1261.8  15.829   0.218   0.743   0.903  99
1093.9  1080.7  15.853   0.310   0.816   0.930  99
1071.2  1110.4  15.855   0.105   0.653   0.785  99
1049.5  1185.0  15.861   0.283   0.812   0.929  99
 677.1   590.9  15.866   0.360   0.665   1.025  99
1398.0  1075.0  15.866   0.390   0.936   0.997  99
 914.5   812.8  15.866   0.186   0.811   0.922  99
1005.5  1157.8  15.870   0.388   0.944   1.011  99
1004.0  1101.5  15.871   0.330   0.860   0.953  99
1098.2  1198.1  15.879   0.084   0.446   0.538  99
1029.8  1176.7  15.881   0.417   0.891   0.993  99
1068.9  1172.0  15.882   0.046   0.614   0.743  99
1011.7  1087.3  15.889  99.999  99.999   0.946  99
 850.2  1324.9  15.907   0.415   0.946   1.029  99
1076.3  1109.4  15.912   0.014   0.459   0.531  99
1047.0  1146.1  15.920   0.545   0.910   1.004  99
1035.2  1042.8  15.921  99.999  99.999   0.869  99
1060.1  1196.4  15.932   0.172   0.617   0.777  99
1048.7  1132.2  15.934  -0.113   0.729  99.999  99
 692.9  1309.8  15.947   1.049   1.162   1.264  99
1550.9   762.1  15.975   0.364   0.916   0.992  99
1041.3  1152.5  15.980   0.272   0.823   0.924  99
1048.4  1165.7  16.004  99.999  99.999   0.774  99
1039.6   853.2  16.007   0.367   0.900   0.982  99
1019.5  1138.4  16.026   0.079   0.462   0.643  99
1096.5   981.3  16.028   0.469   0.904   0.973  99
1269.1  1156.3  16.038   0.358   0.902   0.982  99
1011.8  1089.6  16.042   0.076   0.275   1.056  99
1002.1  1125.3  16.049   0.376   0.906   0.986  99
1111.2  1069.6  16.053   0.428   0.908   0.987  99
1061.1  1174.4  16.056   0.074   0.645   0.838  99
 703.5  1155.3  16.063   0.358   0.915   1.011  99
1087.6  1038.1  16.073   0.341   0.871   0.956  99
1048.7  1164.7  16.074   0.147   0.750   0.883  99
1704.5   602.9  16.087   0.273   0.808   0.870  99
1096.2  1131.5  16.092   0.070   0.552   0.673  99
1140.3  1139.9  16.101   0.057   0.190   0.195  99
1046.9  1439.1  16.105   0.350   0.894   1.011  99
1011.3  1185.6  16.106   0.411   0.907   1.019  99
1433.1  1041.6  16.113   0.382   0.898   0.963  99
1014.6  1100.5  16.117   0.381   0.880   0.968  99
1483.9  1420.4  16.123  99.999  99.999   0.513  99
1097.1   817.1  16.123   0.304   0.895   0.971  99
 656.7    97.3  16.132   0.259   0.895   0.904  99
1134.4   377.0  16.168   0.262   0.908   0.995  99
1638.1   468.4  16.185   0.352   0.795   0.789  99
1143.9  1238.3  16.187   0.121   0.665   0.786  99
1212.7  1274.8  16.187   0.413   0.865   0.966  99
1100.2  1172.5  16.188   0.294   0.789   0.903  99
1086.8  1129.5  16.196  99.999   0.662   0.926  99
 957.8   976.7  16.200   0.353   0.863   0.959  99
1072.9  1164.1  16.202   0.107   0.605   0.760  99
1079.6  1107.9  16.218  99.999  99.999   0.814  99
1101.4  1181.6  16.224   0.083   0.647   0.795  99
1093.7  1093.0  16.229   0.110   0.610   0.814  99
1096.8  1139.1  16.231   0.119   0.564   0.721  99
 972.0  1097.1  16.232   0.359   0.864   0.968  99
 881.4  1316.1  16.239   0.050   0.568   0.457  99
 901.7  1156.0  16.246   0.068   0.655   0.809  99
 868.6  1116.9  16.255   0.184   0.799   0.923  99
 720.5  1518.3  16.269   0.220   0.777   0.856  99
1330.9   170.0  16.269  -0.091   0.596   0.648  99
1109.0  1104.6  16.274   0.339   0.859   0.946  99
