sma T_flux_e intens intens_err ellipticity ellipticity_err pa pa_err grad grad_error grad_rerror x0 x0_err y0 y0_err ndata nflag niter stop_code
1.0613816156961158 279911.46875 91965.61811795976 39.84763020273983 0.16822468590840325 0.029758716271082085 96.99042101650288 5.722104492405593 -3726.652916675914 608.0279621191576 0.16315658466565866 1123.7545727538015 0.016358575003653453 1060.060075914209 0.018977265992787935 13 0 10 0
1.1675197772657273 372348.34375 91560.80161743346 46.357945076018055 0.16131597624860974 0.030147087223488644 98.17697783134098 6.018003895386546 -3925.549690280716 738.0254062108222 0.1880056207257043 1123.7724970250015 0.01822957504562777 1060.0562824544959 0.02087877150359209 13 0 10 0
1.2842717549923002 372348.34375 91059.23008110328 56.685472595408804 0.15078392564383192 0.028513946868567747 101.72643844931036 6.0553264983054955 -4669.66207728049 673.5172693057618 0.14423255005595687 1123.7974233588388 0.01901860496544322 1060.0438038768787 0.021477037574372432 13 0 10 0
1.4126989304915303 555167.5 90353.72866739666 54.77764695716961 0.12579734133181905 0.02235264197238994 105.30174246530667 5.61524971883975 -5389.211134666534 563.6843653602276 0.10459496784868616 1123.820018344036 0.016426479463389505 1060.040773265773 0.01796505715709471 13 0 10 0
1.5539688235406834 646192.125 89600.0994206725 47.899911284871344 0.12387082403758339 0.01703139938915831 100.96546732278327 4.34491536290374 -5636.899146606727 396.07246201729714 0.0702642448828844 1123.824176274037 0.013688071962745416 1060.048520146827 0.015034484115411462 13 0 10 0
1.7093657058947518 825280.6875 88744.96883090828 35.473479027148066 0.12696847543654663 0.011620586263696423 99.58284960838792 2.858270158683624 -5615.734837338533 295.71508121598373 0.05265830559694518 1123.8181204305577 0.01015135365304414 1060.048430918547 0.011195572841006186 13 0 10 0
1.880302276484227 825280.6875 87814.08742668736 36.91893991018695 0.13056458053157183 0.010291603097019663 98.59006016631326 2.5143592463267397 -5893.604295820997 282.5012076990228 0.047933521410546194 1123.8115146546909 0.010034939337144005 1060.0479343027807 0.011122970598225687 13 0 10 0
2.0683325041326497 999926.1875 86722.97596068752 40.46113478542053 0.1309539209767008 0.008259503289260417 99.77490881544408 1.9909860554294996 -7320.304297057865 359.2027641801261 0.049069376026416665 1123.809121708926 0.008830236540450637 1060.042041804607 0.009792163691139336 13 0 10 0
2.275165754545915 1259913.0 85124.88933847201 26.529144028123905 0.12272377004222862 0.005093992391016119 102.91882009235884 1.3201856453204568 -6944.22058449665 234.1888661469921 0.03372428385553182 1123.7921650750159 0.006138346310751191 1060.041060938559 0.006488817636727605 14 0 10 0
2.5026823300005065 1683650.75 83506.651468952 27.07408459269941 0.11971603706917311 0.004335472532943897 107.53878385974701 1.1223245842726448 -7532.525323948598 219.51838606897599 0.029142734558229542 1123.8006741307752 0.005640794465129773 1060.0406222203756 0.006029007305608239 15 0 10 0
2.752950563000557 1848677.125 81748.30436242884 27.367221136550047 0.1325268671689614 0.00373438382411193 104.36063541574417 0.8450041623717655 -7722.657808124702 188.46264563115474 0.02440385814231995 1123.8110924738205 0.005487116159053336 1060.049908904151 0.0057789648114608475 17 0 10 0
3.0282456193006126 2010649.375 79655.86047370621 19.532894317158 0.1346779660636341 0.0024041010839153283 104.38372614213814 0.5557016595522395 -7705.681802633332 121.80884907022516 0.015807666627059312 1123.8001004815467 0.0037710326710905942 1060.0245404408313 0.004106163013228199 18 0 10 0
3.331070181230674 2642057.0 77311.58410137681 23.015437350605378 0.13479244388602865 0.002375540735513652 106.06657643376543 0.5554853519572989 -8138.217432451625 133.0899586396409 0.016353699043347845 1123.792320919266 0.0041518943856667795 1060.0290630500979 0.004463121388184669 20 0 10 0
3.6641771993537415 3098960.25 74612.56590560428 18.251489583812038 0.1374545889062658 0.0016490196945876852 107.551165208855 0.37899157063261146 -8298.603540089744 100.8053334209571 0.012147264649284228 1123.804228153023 0.003179281398118185 1060.0289235889934 0.003413783000646945 22 0 10 0
4.030594919289116 3466042.75 71686.85214583915 19.80371102347123 0.14363237829324826 0.0016478492231729585 107.77132033215723 0.3620994753084171 -8048.589101491787 80.27541701762289 0.009973849578523524 1123.8003731524577 0.0034788377366167266 1060.015865550505 0.003751276468896534 24 0 10 0
4.433654411218027 4379216.0 68486.02394932348 20.503685791274243 0.14589969485165732 0.0014958368190776633 108.38035076206405 0.3219297704462702 -8237.610441300885 80.08777629366062 0.009722209718988987 1123.7995828411838 0.003473307919137447 1060.0125740894455 0.0037878393776311766 26 0 10 0
4.8770198523398305 4780996.0 64997.97393032373 16.952220127515677 0.15252452623558635 0.0011573497800778378 108.08914579783479 0.2413605599267839 -7840.704153671181 63.76324107190554 0.008132336053267648 1123.7977557746494 0.0029821133114742563 1060.002730018841 0.003228645222058221 29 0 10 0
5.364721837573813 5795833.0 61259.73572518739 13.840591014290839 0.15610674425577117 0.00089002111526574 108.7011309818588 0.1791585066307119 -7548.036462201131 70.84014938980377 0.009385242075148325 1123.79223799291 0.002472684760030684 1059.9899940261714 0.0026926494221707065 31 0 10 0
5.901194021331195 6626476.5 57413.908800391466 15.266743139323582 0.16346673544729107 0.0009317990298184043 108.2307940847097 0.17890519710560326 -7106.9756610568875 44.35029621277977 0.006240389488851067 1123.7997751198595 0.002862233831273598 1059.9689038617635 0.0031529901618741144 34 0 10 0
6.491313423464314 7786657.0 53319.78333853173 14.173529673571766 0.1670827127287544 0.000836685422801051 108.7290168933597 0.15976459406265708 -6549.200576044827 46.93926749616184 0.007167175130939302 1123.8025387937369 0.002867407491037949 1059.9606640917011 0.003151207824728519 38 0 10 0
