#Photometric Data (original 1264 rows)   Sung+2002
#
# available at 
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/123/290/table1&-c=ngc%202516&-c.u=arcmin&-c.r=2&-c.eq=J2000&-c.geom=r&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa
#
# Constraints: Prob<0|null
# 1251 lines selected
# 999'filled
#
# SBL   Vmag     B-V     U-B    e_V  e_B-V  e_U-B  Prob  SpType   
#        mag     mag     mag    mag    mag    mag  
# 
  70  15.577   0.867   0.392  0.016  0.017  0.020  99.99          
  71  15.918   0.995   0.526  0.016  0.016  0.026  99.99          
  72  11.681   0.512   0.014  0.020  0.024  0.015   0.99          
  73  10.110   0.173   0.154  0.016  0.019  0.011   0.99          
  74  16.525   1.244   1.153  0.003  0.012  0.094  99.99          
  75  11.978   0.538   0.025  0.006  0.008  0.011  99.99          
  76  14.892   0.622   0.155  0.011  0.011  0.010  99.99          
  77  15.767   0.851   0.428  0.011  0.012  0.018  99.99          
  78  16.404   0.902   0.342  0.001  0.007  0.029  99.99          
  79  16.539   0.688   0.072  0.022  0.022  0.027  99.99          
  80  14.367   0.623   0.069  0.012  0.012  0.015  99.99          
  81  11.276   0.643   0.134  0.016  0.018  0.010  99.99          
  82  13.339   0.866   0.515  0.000  0.001  0.003  99.99          
  83  16.468   0.848   0.208  0.015  0.016  0.036  99.99          
  84  10.655   0.263   0.161  0.007  0.011  0.008   0.99          
  85  14.641   0.699   0.123  0.003  0.011  0.013  99.99          
  86  15.907   1.227   1.022  0.003  0.004  0.042  99.99          
  87  16.620   0.756   0.248  0.003  0.019  0.037  99.99          
  88  16.882   0.767   0.240  0.006  0.019  0.040  99.99          
  89  14.823   1.064   0.741  0.006  0.009  0.020  99.99          
  90  15.450   0.764   0.008  0.008  0.012  0.015  99.99          
  91  15.569   1.137   1.005  0.008  0.012  0.034  99.99          
  92  15.625   1.009   0.673  0.007  0.015  0.032  99.99          
  93  15.665   0.849   0.395  0.005  0.015  0.023  99.99          
  94  16.606   0.747   0.115  0.010  0.010  0.034  99.99          
  95  16.671   0.702   0.074  0.000  0.010  0.031  99.99          
  96  16.082   0.839   0.387  0.004  0.005  0.024  99.99          
  97  12.346   1.170   0.925  0.004  0.004  0.004  99.99          
  98  16.013   0.766   0.111  0.004  0.004  0.021  99.99          
  99  16.569  99.999  99.999  0.034 99.999 99.999  99.99          
 100  16.618   0.735   0.135  0.039  0.039  0.030  99.99          
 101  14.186   1.346   1.534  0.002  0.008  0.024  99.99          
 102  16.866   1.137   1.014  0.016  0.020  0.098  99.99          
 103  15.060   0.629   0.096  0.011  0.012  0.011  99.99          
 104  16.539   0.875   0.414  0.046  0.048  0.047  99.99          
 105  14.668   1.111   1.040  0.012  0.013  0.023  99.99          
 106  12.271   0.563   0.050  0.006  0.014  0.012  99.99          
 107  15.682   0.602   0.087  0.002  0.008  0.016  99.99          
 108  16.853   1.227   1.313  0.014  0.021  0.102  99.99          
 109  16.009   0.994   0.750  0.003  0.006  0.033  99.99          
 110  14.943   0.647   0.063  0.013  0.016  0.013  99.99          
 111  15.835   0.801   0.308  0.003  0.007  0.018  99.99          
 112  16.233   0.804   0.292  0.003  0.006  0.030  99.99          
 113  16.416   0.778   0.132  0.008  0.014  0.028  99.99          
 114  13.047   0.679   0.147  0.002  0.002  0.002  99.99          
 115  12.342   0.691   0.168  0.002  0.002  0.003  99.99          
 116  14.937   0.806   0.280  0.000  0.002  0.012  99.99          
 117  15.592   0.803   0.257  0.019  0.020  0.016  99.99          
 118  15.272   0.768   0.229  0.002  0.017  0.023  99.99          
