# File generated by CMD 2.6 (http://stev.oapd.inaf.it/cmd) on Tue Sep 30 02:18:30 CEST 2014
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00010	Y = 0.24900	[M/H] = -2.192	eta_R = 0.200	Age = 	8.3000e+09 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	0.000100	9.9191	0.77682996	0.7764	0.0656	3.8110	4.4585	4.606	4.852	5.147	4.765	4.491	4.203	3.875	3.595	3.577	3.06153798	1
	0.000100	9.9191	0.78809559	0.7876	0.1205	3.8158	4.4291	4.469	4.707	4.992	4.623	4.357	4.078	3.760	3.491	3.475	3.06663585	1
	0.000100	9.9191	0.79844081	0.7979	0.1737	3.8203	4.3994	4.336	4.567	4.843	4.485	4.227	3.956	3.649	3.389	3.374	3.07119393	1
	0.000100	9.9191	0.80000001	0.7994	0.1819	3.8210	4.3947	4.315	4.546	4.820	4.464	4.207	3.937	3.632	3.374	3.359	3.07187057	1
	0.000100	9.9191	0.80227613	0.8017	0.1938	3.8220	4.3882	4.285	4.515	4.786	4.433	4.178	3.910	3.607	3.351	3.336	3.07285357	1
	0.000100	9.9191	0.81158841	0.8109	0.2458	3.8264	4.3589	4.156	4.380	4.640	4.297	4.050	3.790	3.498	3.252	3.239	3.07681656	1
	0.000100	9.9191	0.82054037	0.8198	0.2993	3.8307	4.3273	4.022	4.242	4.490	4.157	3.919	3.667	3.385	3.149	3.136	3.08053899	1
	0.000100	9.9191	0.82824552	0.8275	0.3486	3.8344	4.2967	3.898	4.117	4.352	4.029	3.797	3.552	3.279	3.052	3.039	3.08367729	1
	0.000100	9.9191	0.83569360	0.8348	0.3995	3.8379	4.2637	3.771	3.989	4.211	3.896	3.671	3.433	3.169	2.949	2.937	3.08665442	1
	0.000100	9.9191	0.84494919	0.8440	0.4675	3.8419	4.2165	3.601	3.819	4.023	3.719	3.502	3.273	3.018	2.808	2.796	3.09027910	1
	0.000100	9.9191	0.85000002	0.8490	0.5073	3.8438	4.1867	3.502	3.720	3.915	3.616	3.403	3.177	2.927	2.722	2.710	3.09222293	1
	0.000100	9.9191	0.85432470	0.8533	0.5416	3.8457	4.1623	3.416	3.634	3.821	3.527	3.318	3.096	2.850	2.650	2.638	3.09386849	1
	0.000100	9.9191	0.85965937	0.8585	0.5895	3.8471	4.1227	3.296	3.516	3.692	3.403	3.198	2.979	2.737	2.541	2.529	3.09587526	1
	0.000100	9.9191	0.86045629	0.8593	0.5972	3.8472	4.1158	3.277	3.497	3.672	3.383	3.178	2.960	2.718	2.522	2.510	3.09617281	1
	0.000100	9.9191	0.86496156	0.8637	0.6443	3.8465	4.0682	3.159	3.383	3.552	3.264	3.058	2.840	2.596	2.400	2.388	3.09784460	1
	0.000100	9.9191	0.86929667	0.8680	0.6964	3.8430	4.0040	3.029	3.260	3.428	3.134	2.923	2.699	2.448	2.245	2.232	3.09943652	1
	0.000100	9.9191	0.87006783	0.8687	0.7066	3.8419	3.9899	3.004	3.237	3.405	3.109	2.896	2.670	2.417	2.212	2.198	3.09971786	2
	0.000100	9.9191	0.87206769	0.8707	0.7358	3.8372	3.9429	2.931	3.170	3.343	3.038	2.819	2.584	2.320	2.106	2.092	3.10044551	2
	0.000100	9.9191	0.87415832	0.8727	0.7703	3.8293	3.8777	2.844	3.096	3.279	2.958	2.725	2.477	2.194	1.964	1.948	3.10120225	2
	0.000100	9.9191	0.87577164	0.8743	0.8013	3.8196	3.8089	2.767	3.038	3.231	2.889	2.640	2.376	2.069	1.819	1.801	3.10178399	2
	0.000100	9.9191	0.87705171	0.8755	0.8302	3.8086	3.7363	2.694	2.990	3.195	2.827	2.559	2.276	1.944	1.670	1.648	3.10224390	2
	0.000100	9.9191	0.87810057	0.8765	0.8575	3.7962	3.6599	2.626	2.959	3.174	2.772	2.482	2.177	1.815	1.516	1.490	3.10261965	2
	0.000100	9.9191	0.87878096	0.8771	0.8766	3.7865	3.6025	2.579	2.947	3.172	2.737	2.425	2.102	1.720	1.404	1.370	3.10286283	2
	0.000100	9.9191	0.87959784	0.8779	0.9000	3.7739	3.5291	2.520	2.940	3.172	2.694	2.356	2.011	1.601	1.265	1.220	3.10315442	2
	0.000100	9.9191	0.88031387	0.8786	0.9213	3.7637	3.4674	2.467	2.937	3.162	2.654	2.297	1.936	1.501	1.145	1.095	3.10340953	2
	0.000100	9.9191	0.88102925	0.8792	0.9502	3.7549	3.4035	2.394	2.916	3.129	2.594	2.222	1.846	1.389	1.016	0.961	3.10366416	2
	0.000100	9.9191	0.88159299	0.8798	0.9838	3.7494	3.3482	2.310	2.867	3.070	2.519	2.137	1.751	1.281	0.897	0.839	3.10386443	2
	0.000100	9.9191	0.88207692	0.8802	1.0201	3.7458	3.2976	2.220	2.803	2.997	2.435	2.046	1.654	1.174	0.783	0.722	3.10403609	3
	0.000100	9.9191	0.88216358	0.8803	1.0273	3.7452	3.2880	2.202	2.789	2.982	2.417	2.028	1.634	1.153	0.761	0.700	3.10406661	3
	0.000100	9.9191	0.88263994	0.8807	1.0693	3.7425	3.2355	2.097	2.703	2.889	2.317	1.922	1.524	1.036	0.638	0.576	3.10423541	3
	0.000100	9.9191	0.88316649	0.8812	1.1194	3.7398	3.1749	1.971	2.598	2.777	2.197	1.797	1.395	0.899	0.495	0.432	3.10442185	3
	0.000100	9.9191	0.88361102	0.8815	1.1646	3.7379	3.1222	1.858	2.501	2.674	2.088	1.685	1.279	0.777	0.369	0.305	3.10457897	3
	0.000100	9.9191	0.88403928	0.8819	1.2107	3.7361	3.0692	1.743	2.401	2.568	1.976	1.570	1.161	0.655	0.242	0.177	3.10473013	3
	0.000100	9.9191	0.88443816	0.8822	1.2562	3.7345	3.0172	1.629	2.301	2.462	1.865	1.457	1.045	0.534	0.117	0.050	3.10487080	3
	0.000100	9.9191	0.88481402	0.8825	1.3020	3.7329	2.9654	1.515	2.199	2.355	1.754	1.343	0.929	0.413	-0.008	-0.075	3.10500336	3
	0.000100	9.9191	0.88519025	0.8827	1.3511	3.7313	2.9100	1.392	2.090	2.239	1.634	1.220	0.804	0.283	-0.141	-0.209	3.10513592	3
	0.000100	9.9191	0.88551545	0.8829	1.3968	3.7298	2.8582	1.278	1.990	2.133	1.523	1.106	0.687	0.162	-0.265	-0.334	3.10525036	3
	0.000100	9.9191	0.88583541	0.8831	1.4452	3.7282	2.8037	1.157	1.884	2.020	1.405	0.986	0.564	0.034	-0.396	-0.466	3.10536289	3
	0.000100	9.9191	0.88612586	0.8833	1.4929	3.7267	2.7501	1.038	1.778	1.908	1.288	0.867	0.443	-0.091	-0.525	-0.595	3.10546494	3
	0.000100	9.9191	0.88638872	0.8834	1.5396	3.7251	2.6970	0.921	1.677	1.800	1.175	0.751	0.324	-0.214	-0.652	-0.723	3.10555720	3
	0.000100	9.9191	0.88662839	0.8834	1.5859	3.7236	2.6446	0.805	1.575	1.692	1.063	0.636	0.206	-0.336	-0.778	-0.849	3.10564137	3
	0.000100	9.9191	0.88685483	0.8835	1.6333	3.7221	2.5911	0.687	1.470	1.582	0.947	0.518	0.086	-0.461	-0.906	-0.978	3.10572076	3
	0.000100	9.9191	0.88705724	0.8835	1.6792	3.7204	2.5386	0.572	1.370	1.476	0.836	0.404	-0.031	-0.582	-1.031	-1.104	3.10579157	3
	0.000100	9.9191	0.88723868	0.8834	1.7238	3.7188	2.4877	0.460	1.274	1.373	0.728	0.293	-0.144	-0.700	-1.153	-1.227	3.10585523	3
	0.000100	9.9191	0.88740873	0.8834	1.7693	3.7173	2.4360	0.347	1.180	1.269	0.618	0.180	-0.261	-0.821	-1.277	-1.352	3.10591483	3
	0.000100	9.9191	0.88755977	0.8833	1.8133	3.7157	2.3855	0.237	1.090	1.169	0.512	0.070	-0.373	-0.938	-1.398	-1.473	3.10596776	3
	0.000100	9.9191	0.88770086	0.8831	1.8578	3.7140	2.3343	0.125	0.999	1.069	0.405	-0.041	-0.487	-1.057	-1.521	-1.596	3.10601711	3
	0.000100	9.9191	0.88783199	0.8830	1.9026	3.7125	2.2832	0.014	0.907	0.967	0.297	-0.152	-0.601	-1.176	-1.644	-1.720	3.10606289	3
	0.000100	9.9191	0.88795233	0.8828	1.9469	3.7108	2.2321	-0.097	0.817	0.867	0.190	-0.262	-0.714	-1.294	-1.766	-1.843	3.10610509	3
	0.000100	9.9191	0.88806170	0.8825	1.9905	3.7091	2.1816	-0.206	0.730	0.770	0.085	-0.370	-0.825	-1.410	-1.886	-1.964	3.10614324	3
	0.000100	9.9191	0.88816404	0.8823	2.0351	3.7075	2.1304	-0.318	0.640	0.671	-0.022	-0.480	-0.939	-1.528	-2.009	-2.088	3.10617900	3
	0.000100	9.9191	0.88825738	0.8819	2.0791	3.7058	2.0793	-0.428	0.554	0.574	-0.127	-0.589	-1.051	-1.646	-2.131	-2.210	3.10621166	3
	0.000100	9.9191	0.88834023	0.8816	2.1216	3.7041	2.0299	-0.534	0.470	0.480	-0.228	-0.694	-1.159	-1.759	-2.248	-2.329	3.10624075	3
	0.000100	9.9191	0.88841653	0.8812	2.1640	3.7025	1.9811	-0.640	0.387	0.387	-0.330	-0.798	-1.266	-1.872	-2.365	-2.446	3.10626721	3
	0.000100	9.9191	0.88848811	0.8808	2.2066	3.7007	1.9311	-0.747	0.307	0.294	-0.432	-0.904	-1.376	-1.986	-2.483	-2.566	3.10629225	3
	0.000100	9.9191	0.88855237	0.8804	2.2474	3.6990	1.8834	-0.849	0.232	0.206	-0.529	-1.005	-1.480	-2.095	-2.596	-2.680	3.10631466	3
	0.000100	9.9191	0.88861686	0.8798	2.2898	3.6974	1.8343	-0.955	0.153	0.114	-0.629	-1.110	-1.588	-2.208	-2.713	-2.797	3.10633731	3
	0.000100	9.9191	0.88868457	0.8792	2.3252	3.6960	1.7928	-1.043	0.088	0.038	-0.713	-1.197	-1.678	-2.302	-2.811	-2.896	3.10636091	3
	0.000100	9.9191	0.88871992	0.8788	2.3400	3.6954	1.7753	-1.080	0.061	0.007	-0.748	-1.234	-1.715	-2.342	-2.852	-2.937	3.10637331	3
	0.000100	9.9191	0.88876480	0.8783	2.3229	3.6964	1.7963	-1.037	0.088	0.040	-0.709	-1.192	-1.672	-2.295	-2.802	-2.887	3.10638905	3
	0.000100	9.9191	0.88878542	0.8781	2.3402	3.6956	1.7759	-1.081	0.057	0.004	-0.750	-1.234	-1.716	-2.342	-2.850	-2.936	3.10639620	3
	0.000100	9.9191	0.88883388	0.8775	2.3829	3.6938	1.7254	-1.187	-0.019	-0.086	-0.850	-1.340	-1.824	-2.456	-2.969	-3.056	3.10641313	3
	0.000100	9.9191	0.88888019	0.8768	2.4262	3.6921	1.6750	-1.295	-0.098	-0.179	-0.953	-1.446	-1.935	-2.571	-3.089	-3.176	3.10642934	3
	0.000100	9.9191	0.88892174	0.8761	2.4675	3.6902	1.6258	-1.399	-0.171	-0.265	-1.049	-1.548	-2.040	-2.682	-3.204	-3.293	3.10644364	3
	0.000100	9.9191	0.88896060	0.8754	2.5090	3.6883	1.5765	-1.503	-0.241	-0.351	-1.146	-1.649	-2.146	-2.793	-3.320	-3.410	3.10645723	3
	0.000100	9.9191	0.88899761	0.8745	2.5513	3.6866	1.5266	-1.608	-0.313	-0.438	-1.245	-1.753	-2.253	-2.906	-3.438	-3.528	3.10647011	3
	0.000100	9.9191	0.88903052	0.8736	2.5915	3.6847	1.4784	-1.709	-0.378	-0.518	-1.338	-1.850	-2.355	-3.015	-3.551	-3.642	3.10648179	3
	0.000100	9.9191	0.88906240	0.8726	2.6332	3.6829	1.4291	-1.813	-0.447	-0.603	-1.435	-1.952	-2.461	-3.126	-3.667	-3.759	3.10649276	3
	0.000100	9.9191	0.88909101	0.8715	2.6733	3.6810	1.3811	-1.913	-0.510	-0.683	-1.527	-2.050	-2.563	-3.234	-3.779	-3.872	3.10650277	3
	0.000100	9.9191	0.88911748	0.8704	2.7129	3.6791	1.3333	-2.012	-0.570	-0.760	-1.618	-2.146	-2.663	-3.340	-3.891	-3.985	3.10651207	3
	0.000100	9.9191	0.88914382	0.8691	2.7552	3.6773	1.2832	-2.118	-0.637	-0.845	-1.715	-2.248	-2.770	-3.453	-4.008	-4.103	3.10652113	3
